Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
B,-0.09,0.04,1.03,-6.16,-104.37,7.69
B,-0.03,0.13,1.19,-31.68,-79.83,24.05
B,0.00,0.12,1.00,-32.41,-43.15,18.49
B,0.04,0.13,1.14,-23.68,-20.08,13.37
B,0.01,0.06,1.02,1.10,-22.09,16.54
B,0.09,0.17,0.89,-16.05,-16.05,22.77
B,0.02,0.20,0.98,-24.11,-16.91,12.70
B,0.03,-0.10,0.88,-3.78,-11.96,-2.26
B,0.05,0.06,1.00,7.14,-12.27,15.38
B,0.04,0.14,0.98,5.19,-11.54,14.34
B,0.06,0.27,0.85,-7.26,2.56,3.91
B,0.02,0.21,1.14,2.26,-10.93,-9.83
B,0.08,0.05,0.96,-5.80,22.71,-27.34
B,0.06,0.05,0.85,-13.79,25.70,-17.94
B,-0.03,0.17,1.04,-19.96,0.92,-13.06
B,-0.09,0.11,1.32,10.93,33.08,-18.13
B,-0.15,0.03,1.18,19.10,56.88,-31.25
B,-0.28,0.07,1.53,19.59,42.42,-26.86
B,-0.41,0.15,1.56,18.98,64.33,-26.61
B,-0.38,0.19,1.68,32.53,87.04,-31.80
B,-0.19,0.04,1.01,15.99,119.14,-25.15
B,-0.20,-0.03,0.74,0.49,94.73,-15.20
B,-0.30,0.04,0.59,-12.15,67.14,0.67
B,-0.16,0.15,0.30,6.65,51.64,-11.29
B,-0.24,-0.05,0.60,-13.79,13.85,-4.27
B,-0.10,0.28,1.17,10.13,2.87,1.71
B,-0.11,0.31,1.26,24.48,21.30,-13.73
B,-0.13,-0.00,0.85,23.32,31.43,-12.82
B,-0.11,0.14,0.68,66.59,34.61,-9.64
B,-0.21,0.24,0.68,9.16,28.26,-7.02
B,-0.20,-0.02,0.39,3.48,15.44,-14.71
B,-0.12,0.03,0.47,9.46,-8.67,-16.42
B,-0.17,-0.15,0.16,6.65,-19.78,-2.50
B,-0.19,0.05,0.35,16.97,-63.29,20.51
B,-0.14,0.05,0.31,15.69,-71.04,19.17
B,-0.05,-0.04,0.29,9.58,-102.05,28.99
B,-0.08,0.22,0.51,-1.10,-133.24,49.07
B,-0.01,0.21,0.67,8.54,-143.55,47.97
B,0.24,0.12,0.80,2.14,-158.08,59.02
B,0.21,0.16,0.94,-9.83,-181.58,73.61
B,0.20,0.41,1.40,2.08,-185.73,65.19
B,0.35,0.33,1.65,9.34,-138.98,55.36
B,0.42,0.33,1.58,1.22,-115.17,50.05
B,0.24,0.45,1.69,14.65,-83.50,36.13
B,0.17,0.37,1.99,18.25,-21.12,4.39
B,0.23,0.30,1.56,9.28,44.13,-11.78
B,0.13,0.35,1.33,22.28,61.71,-8.61
B,0.04,0.43,1.65,50.23,95.34,-22.95
B,0.14,0.23,1.47,59.02,148.25,-31.92
B,0.05,0.21,0.74,54.75,212.59,-42.11
B,-0.05,0.24,0.45,44.56,135.07,-20.69
B,-0.12,0.28,1.25,55.42,95.40,-23.44
B,-0.07,0.48,1.03,36.19,132.93,-31.19
B,-0.02,0.47,0.51,21.42,141.78,-49.68
B,-0.05,0.46,0.62,20.39,72.63,-41.93
B,-0.10,0.88,0.53,0.49,42.42,-21.55
B,-0.04,0.89,0.48,-16.48,18.43,-48.58
B,-0.05,0.49,0.52,-3.72,10.68,-81.67
B,-0.09,0.72,0.35,11.11,-5.43,-77.64
B,-0.07,0.62,0.31,-2.20,-20.32,-103.03
B,-0.05,0.05,0.28,-14.65,-61.28,-122.74
B,-0.13,-0.07,0.46,-7.20,-81.30,-99.30
B,-0.10,-0.23,0.65,-20.87,-96.86,-78.80
B,-0.03,-0.34,0.82,-22.03,-90.45,-54.32
B,-0.03,-0.50,0.99,-13.06,-94.97,-44.98
B,0.00,-0.71,1.01,0.92,-80.81,-10.07
B,-0.01,-0.64,1.15,6.04,-82.58,47.55
B,-0.00,-0.48,1.41,-7.39,-80.38,68.42
B,0.07,-0.60,1.46,-10.68,-36.44,88.99
B,0.07,-0.47,1.61,2.01,-13.37,120.24
B,0.02,0.04,1.03,18.49,1.77,153.93
B,0.02,0.58,1.28,21.85,21.85,147.89
B,0.01,0.80,1.27,38.76,27.71,131.84
B,-0.04,1.42,0.86,41.81,63.96,98.94
B,-0.09,1.37,1.04,33.45,41.02,4.52
B,-0.04,0.99,0.60,29.85,60.61,-38.09
B,-0.03,1.00,0.65,20.45,20.69,-43.70
B,-0.01,0.80,0.57,7.32,7.51,-68.79
B,0.02,0.69,0.50,8.79,5.80,-89.66
B,0.02,0.60,0.72,14.22,-18.43,-114.75
B,0.05,0.40,0.55,1.65,-15.32,-121.89
B,0.05,0.20,0.81,-18.01,-30.58,-126.83
B,0.07,-0.10,0.76,8.18,-38.64,-122.50
B,0.03,-0.02,0.77,15.50,-29.54,-103.52
B,0.04,-0.19,0.68,-8.85,-41.26,-103.27
B,0.09,-0.43,0.78,-37.11,-35.34,-92.53
B,-0.04,-0.48,0.69,-30.15,-49.19,-63.11
B,0.02,-0.56,1.01,-47.30,-57.74,-52.86
B,0.18,-0.99,0.53,-40.89,-36.87,-56.21
B,0.17,-1.12,1.10,-0.06,-96.80,43.09
B,0.24,-0.75,1.40,12.15,-107.12,106.26
B,0.36,-0.62,1.66,-1.22,-110.60,138.92
B,0.37,-0.44,1.79,-11.78,-76.23,194.52
B,0.32,0.42,2.10,39.31,-23.44,243.16
B,0.25,1.81,1.06,24.11,94.85,190.49
B,0.07,1.12,1.26,45.41,38.82,47.18
