Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,-0.12,0.14,1.08,23.99,9.09,2.01
C,-0.11,0.16,0.97,9.40,4.76,-3.11
C,-0.15,-0.01,0.99,14.04,8.79,-2.99
C,0.05,0.16,1.25,35.83,16.72,-1.40
C,-0.18,0.22,0.87,0.24,21.36,2.56
C,-0.19,0.15,0.85,8.06,15.87,-8.06
C,-0.21,0.10,1.05,26.06,13.67,8.67
C,-0.24,0.33,1.25,64.82,30.21,17.70
C,-0.21,0.28,1.08,67.02,80.08,-41.38
C,-0.23,-0.01,0.89,61.28,73.73,-43.40
C,-0.87,0.34,1.00,7.87,52.12,4.15
C,-0.29,0.43,1.13,5.86,12.88,-51.39
C,-0.39,0.06,1.08,-17.46,34.06,-62.38
C,-0.31,0.22,0.93,-32.04,46.26,-41.20
C,-0.34,-0.08,0.57,-32.17,26.18,-45.10
C,-0.53,-0.32,0.66,9.77,-21.85,-43.76
C,-0.19,-0.28,0.78,65.00,-42.85,-18.43
C,0.11,-0.06,0.83,63.35,16.54,-22.83
C,-0.42,0.23,0.61,-25.39,-51.03,29.24
C,-0.49,0.16,1.51,0.12,-36.80,13.18
C,-0.47,0.51,0.81,3.72,10.01,35.10
C,-0.34,0.57,1.18,-43.70,-9.46,-15.75
C,-0.45,0.19,1.05,-4.46,-42.48,-59.63
C,-0.31,0.05,0.84,-23.25,-10.62,-58.59
C,-0.28,-0.39,1.06,-10.01,-19.29,-51.51
C,-0.15,-0.25,0.55,-1.65,23.50,-12.08
C,-0.17,-0.17,0.91,9.22,-28.08,6.04
C,-0.25,0.35,0.96,8.18,-15.32,3.42
C,-0.19,0.63,0.74,29.79,-20.39,-25.27
C,-0.35,0.48,0.97,30.27,-40.16,-71.04
C,-0.33,0.46,0.99,39.86,-20.39,-133.91
C,-0.26,-0.02,0.79,-6.96,17.64,-161.99
C,-0.49,0.16,0.73,-88.38,30.40,-126.34
C,0.08,0.10,0.48,18.98,1.10,-157.04
C,-0.39,-0.54,0.66,-26.43,-15.93,-104.37
C,-0.32,-0.43,0.99,-2.62,-39.79,-65.49
C,-0.41,-0.62,1.36,21.48,-44.98,-38.27
C,-0.46,-0.67,1.35,38.76,-8.73,26.18
C,-0.09,-0.22,1.38,-22.83,29.85,93.75
C,-0.15,-0.11,0.98,-15.75,54.75,75.74
C,-0.15,-0.51,1.16,-6.53,51.21,54.87
C,-0.08,-0.43,1.02,-12.51,77.94,94.73
C,-0.05,-0.45,0.72,-2.38,85.08,122.56
C,-0.01,-0.30,0.60,3.30,60.55,171.75
C,0.04,0.22,0.42,0.67,39.86,195.13
C,-0.01,0.04,0.44,-6.53,-1.22,167.05
C,0.07,-0.12,0.59,30.33,-20.08,210.27
C,0.17,0.21,0.36,29.72,-14.40,239.44
C,0.11,0.71,0.31,18.86,-54.99,245.61
C,0.03,1.27,0.47,-5.00,-71.29,172.97
C,-0.00,0.89,0.68,-12.45,-84.05,111.51
C,-0.01,0.56,0.60,41.69,-65.92,97.41
C,0.04,0.99,0.65,62.19,-70.37,111.39
C,0.09,1.23,0.72,-15.44,-81.12,66.04
C,0.04,1.05,0.92,-42.05,-86.18,9.77
C,-0.05,1.27,1.09,-48.65,-82.34,-20.45
C,-0.00,1.43,1.39,-73.12,-63.05,-100.59
C,0.15,0.79,0.87,-110.72,-12.21,-194.34
C,0.10,0.57,0.76,-131.71,-3.85,-210.88
C,0.04,-0.20,0.64,-158.51,-7.75,-270.32
C,0.04,-1.19,0.20,-157.35,-13.00,-252.87
C,0.10,-1.59,0.54,-142.15,-66.47,-127.26
C,0.34,-1.01,1.61,-73.55,-93.99,-6.10
C,0.36,-0.35,1.87,-19.29,-47.49,10.50
C,0.27,-0.53,1.36,-8.00,12.39,-17.76
C,0.04,-0.15,0.95,-13.06,22.16,23.62
C,-0.05,0.01,0.91,-12.15,3.30,19.47
C,-0.06,0.23,0.98,-6.90,1.16,13.18
C,-0.04,0.00,0.79,-2.99,8.00,-0.37
C,-0.03,-0.01,0.88,-17.58,-15.81,0.79
C,0.04,-0.08,0.95,-8.73,-13.98,-1.59
C,0.07,-0.05,0.99,4.27,-10.01,-6.23
C,0.11,-0.26,0.98,13.49,-7.32,-10.68
C,0.13,-0.27,1.07,14.04,-5.98,7.26
C,0.11,-0.10,1.24,17.15,1.71,10.56
C,0.09,0.06,1.45,47.18,45.59,-18.25
C,0.02,-0.10,1.28,55.66,84.53,-49.44
C,-0.20,0.14,1.41,37.60,68.97,-40.77
C,-0.25,0.44,1.52,42.66,97.78,-43.27
C,-0.20,0.59,1.32,34.06,132.69,-79.59
C,-0.24,0.39,0.91,-33.39,124.63,-124.39
C,-0.38,-0.53,0.70,-13.12,118.47,-145.02
C,-0.42,-0.42,0.42,-18.43,100.83,-100.16
C,-0.47,-0.74,0.33,-29.97,59.45,-78.06
C,-0.46,-0.47,0.48,-38.64,21.30,-29.17
C,-0.44,-0.50,0.92,-16.11,13.18,-32.59
C,-0.26,-0.79,0.68,19.35,43.52,4.21
C,-0.20,-0.28,0.58,0.12,10.68,66.83
C,-0.14,-0.27,0.92,-7.39,-27.53,61.28
C,-0.07,-0.54,1.03,5.49,-2.38,55.36
C,-0.04,-0.60,0.83,26.79,9.83,90.94
C,-0.10,0.02,0.92,9.70,-9.03,115.97
C,-0.12,-0.25,0.80,12.76,4.88,100.89
C,-0.12,-0.26,0.57,21.42,3.17,130.80
C,-0.14,0.50,0.66,0.79,-26.12,145.63
C,-0.20,0.40,0.78,-5.43,-27.59,107.48
C,-0.20,-0.00,0.63,13.85,-12.82,86.61
C,-0.13,0.11,0.64,16.66,-31.80,121.95
C,-0.12,0.33,0.50,2.87,-41.99,121.77
C,-0.16,0.45,0.78,6.65,-60.91,105.35
C,-0.17,0.26,0.71,5.86,-65.25,82.89
C,-0.15,0.40,0.95,8.91,-73.24,96.13
C,-0.11,0.82,0.75,6.77,-66.71,87.16
C,-0.13,0.80,0.85,-8.61,-81.79,54.93
C,-0.11,0.50,0.95,-18.98,-81.79,14.59
C,-0.09,0.71,0.94,-7.93,-75.20,10.86
C,-0.06,0.76,0.97,-2.99,-75.74,-7.75
C,-0.08,0.81,1.13,-25.82,-78.92,-37.84
C,-0.08,0.84,1.00,-60.42,-46.14,-75.81
C,-0.10,1.14,1.13,-75.07,-45.90,-109.68
C,0.01,0.32,0.84,-84.29,-20.39,-210.14
C,0.26,-0.52,0.77,-77.76,-24.35,-226.32
C,0.24,-1.30,1.07,-97.84,-44.37,-136.41
C,0.27,-1.15,1.39,-103.94,-40.95,-66.77
C,0.23,-1.17,1.36,-53.22,-8.73,-44.74
C,0.18,-0.85,1.07,14.40,3.42,16.78
C,0.06,-0.06,1.02,4.64,-7.63,50.05
C,0.01,0.11,1.02,0.61,-3.85,33.63
C,0.02,0.07,0.95,9.95,4.52,16.85
C,-0.00,0.23,0.94,9.28,1.04,16.66
C,0.01,0.06,0.90,4.94,-0.24,-3.72
C,0.05,-0.08,0.91,-5.37,-5.49,-6.65
C,0.08,-0.10,0.95,-5.07,-7.69,-1.22
C,0.06,-0.02,1.00,-1.34,-11.84,-0.37
C,0.07,-0.07,0.99,0.24,-4.94,-5.62
C,0.08,-0.15,1.01,2.99,-9.46,-7.32
C,0.07,-0.10,1.02,0.31,-4.46,3.23
C,0.06,-0.02,1.01,1.46,4.70,0.61
C,0.07,-0.16,1.07,0.92,20.69,-16.24
C,0.06,-0.07,1.24,13.12,30.70,-18.49
C,0.09,-0.03,1.62,28.81,49.07,-27.10
C,0.12,0.10,1.98,101.26,125.79,-44.13
C,-0.03,0.20,1.89,121.95,181.03,-80.87
C,-0.28,0.05,1.18,45.59,223.88,-129.52
C,-0.38,-0.07,0.70,10.19,187.44,-116.70
C,-0.56,-0.20,0.71,14.40,153.44,-86.18
C,-0.53,0.06,0.48,-9.52,160.10,-55.97
C,-0.48,0.13,-0.06,-32.47,104.55,-84.11
C,-0.65,-0.36,0.05,32.71,26.18,-112.92
C,-0.53,-0.39,0.13,23.86,0.00,-43.33
C,-0.49,0.10,0.10,2.38,-38.57,-19.96
C,-0.41,-0.23,0.59,34.73,-90.64,-68.36
C,-0.40,-0.50,0.90,7.39,-73.43,-37.66
