Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
D,-0.22,0.04,0.95,8.67,-6.16,-3.48
D,-0.22,0.12,0.92,3.17,-4.27,2.99
D,-0.26,0.13,0.98,-0.85,-1.16,-2.93
D,-0.23,0.12,1.08,10.86,1.53,-1.71
D,-0.20,0.18,1.09,7.81,13.18,-3.85
D,-0.25,0.12,1.19,-6.23,43.52,-12.51
D,-0.24,0.07,1.00,-20.57,63.35,-11.35
D,-0.26,0.12,0.87,-6.35,46.33,-15.99
D,-0.30,-0.01,1.02,-4.82,11.66,-11.66
D,-0.34,0.02,1.09,-3.23,4.15,-1.77
D,-0.42,0.13,1.36,4.33,9.89,-3.54
D,-0.51,0.03,1.17,0.37,59.14,-8.06
D,-0.55,0.04,1.24,-4.52,60.73,-2.75
D,-0.49,-0.01,1.05,-3.54,78.55,4.82
D,-0.53,0.08,0.86,-1.28,86.12,7.57
D,-0.54,0.08,0.75,4.82,77.64,0.37
D,-0.57,-0.05,0.52,-3.23,71.11,3.05
D,-0.60,0.06,0.50,-3.36,60.06,18.74
D,-0.52,0.30,0.69,-2.81,38.82,15.14
D,-0.41,0.22,0.63,-1.77,44.37,-2.93
D,-0.35,-0.00,0.41,-12.39,38.70,-7.57
D,-0.30,0.04,0.55,-19.96,-10.80,14.16
D,-0.30,-0.05,0.46,-31.49,-8.30,19.41
D,-0.28,0.19,0.22,-39.25,-8.73,25.70
D,-0.17,-0.02,0.14,-26.00,-56.76,9.34
D,-0.17,0.01,0.26,-24.17,-89.66,16.36
D,-0.09,-0.05,0.09,24.29,-105.47,6.59
D,-0.10,0.13,0.62,-4.58,-161.44,37.17
D,-0.07,0.21,0.68,-14.40,-155.88,31.01
D,0.01,0.30,0.76,-24.05,-183.72,30.15
D,0.03,0.34,0.89,-37.72,-193.60,9.77
D,0.13,-0.27,1.23,-27.95,-189.88,-16.48
D,0.15,-0.02,1.62,-17.15,-191.89,37.17
D,0.16,0.19,1.67,-36.87,-143.19,26.73
D,0.11,0.03,1.67,-15.44,-98.51,-7.32
D,0.09,-0.19,1.57,-15.32,-45.10,-17.52
D,0.07,-0.08,1.48,-24.17,-27.10,-2.69
D,0.11,-0.08,1.41,-5.25,-7.63,-8.30
D,0.14,-0.08,1.31,10.68,14.89,-11.90
D,0.14,-0.19,1.30,19.78,26.79,-9.89
D,0.16,-0.15,1.33,17.88,45.04,-1.59
D,0.11,-0.11,1.40,16.85,64.94,-1.04
D,0.06,-0.07,1.11,32.90,114.87,-14.34
D,-0.04,-0.26,1.08,49.93,95.28,-10.25
D,-0.14,-0.06,0.96,51.15,99.98,16.66
D,-0.23,0.04,0.94,39.67,71.90,31.31
D,-0.24,0.09,0.91,40.41,79.96,30.88
D,-0.30,0.13,0.74,46.81,71.41,30.03
D,-0.30,-0.06,1.17,57.01,63.35,36.62
D,-0.29,-0.10,1.08,52.61,90.33,60.06
D,-0.19,0.55,0.64,48.58,119.69,89.54
D,-0.18,1.06,0.89,68.42,48.03,46.63
D,-0.18,1.20,1.05,51.21,56.15,0.85
D,-0.09,1.06,0.52,7.87,80.69,-65.61
D,-0.03,0.86,0.31,-9.28,53.10,-96.19
D,-0.00,0.57,0.52,-9.70,2.44,-124.15
D,0.01,0.60,0.21,-21.42,-0.31,-145.57
D,0.09,0.40,0.17,-12.39,-28.99,-180.42
D,-0.00,-0.27,0.35,-2.26,-52.80,-181.27
D,0.05,-0.45,0.25,2.75,-66.41,-147.64
D,0.04,-0.34,0.40,-2.44,-93.75,-125.49
D,0.04,-0.82,0.55,-31.43,-98.39,-129.09
D,0.02,-1.23,0.56,-18.55,-105.90,-92.59
D,0.11,-1.27,0.90,-8.42,-165.59,2.08
D,0.36,-1.47,1.20,-21.67,-197.02,87.59
D,0.45,-1.25,1.57,-32.17,-205.38,169.49
D,0.43,-0.54,1.65,4.64,-157.59,266.72
D,0.28,1.57,2.12,13.55,-126.77,262.76
D,0.05,1.61,1.95,11.41,-47.91,106.99
D,0.04,0.16,1.25,22.83,10.19,-25.21
D,-0.01,-0.12,0.99,7.51,14.34,4.94
D,-0.06,0.59,1.05,-12.45,-19.29,42.97
D,0.02,0.39,0.95,12.63,10.62,-22.09
D,0.06,-0.04,0.85,21.73,13.43,-47.36
D,0.06,-0.18,0.82,5.68,0.55,-18.25
D,0.07,0.10,0.94,-0.85,-8.06,-5.86
D,0.12,0.09,0.99,5.43,-2.93,-22.95
D,0.19,-0.19,1.10,6.90,7.14,-37.72
D,0.19,-0.15,1.14,12.02,17.52,-27.16
D,0.21,-0.06,1.33,33.39,52.43,-29.91
D,0.15,-0.06,1.52,67.75,84.05,-47.00
D,0.06,-0.12,1.55,80.99,114.87,-54.20
D,-0.14,-0.24,1.29,83.92,147.52,-33.33
D,-0.36,0.21,1.29,44.31,156.43,2.38
D,-0.48,0.26,1.20,34.85,177.49,-11.05
D,-0.57,0.40,1.01,18.62,195.31,-23.86
D,-0.55,0.29,0.91,3.48,190.25,-49.07
D,-0.81,0.04,0.66,-12.82,166.38,-40.89
D,-0.64,0.06,0.58,14.59,114.56,-31.86
D,-0.63,0.08,0.54,8.18,115.05,-24.60
D,-0.54,0.04,0.16,14.59,102.05,-25.57
D,-0.48,0.15,0.15,9.70,43.82,-17.94
D,-0.41,0.10,-0.07,0.92,10.80,-17.52
D,-0.36,0.09,0.23,16.97,-51.03,-6.16
D,-0.23,0.07,-0.12,8.36,-47.61,-7.20
D,-0.17,-0.10,0.22,15.44,-107.85,3.30
D,-0.03,0.05,0.37,4.88,-137.33,23.93
D,-0.02,0.20,0.39,-20.02,-137.70,28.32
D,-0.01,0.07,-0.16,-15.32,-164.43,12.51
D,0.10,-0.25,0.38,6.16,-203.74,16.30
D,0.25,-0.11,0.40,-13.12,-236.39,47.30
D,0.21,0.15,1.31,-25.33,-250.49,68.42
D,0.23,0.14,1.70,-14.10,-184.27,32.71
D,0.20,0.17,1.68,-4.09,-158.63,27.77
D,0.07,0.18,1.82,-8.06,-109.13,19.41
D,0.04,0.21,1.86,-16.30,-88.62,15.01
D,0.11,0.27,1.60,-11.11,-34.48,-1.53
D,0.04,0.03,1.37,-19.84,-4.94,-11.54
D,0.01,0.07,1.22,-25.27,5.55,-1.83
D,0.08,0.09,1.08,-8.18,12.39,-5.80
D,0.15,0.05,1.04,5.49,13.06,-9.77
