Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
E,-0.18,-0.08,0.97,5.07,-6.04,0.31
E,-0.19,-0.01,0.99,6.71,-2.62,3.72
E,-0.18,-0.01,1.01,4.82,-1.77,-1.40
E,-0.18,0.05,1.04,6.04,-1.77,0.24
E,-0.17,-0.01,1.00,1.95,2.08,-5.37
E,-0.16,0.02,0.98,2.14,6.59,1.59
E,-0.17,-0.00,0.95,2.44,3.85,-3.91
E,-0.14,-0.00,0.99,8.85,4.33,-4.33
E,-0.15,0.06,0.93,4.82,9.77,-3.85
E,-0.18,-0.07,1.00,-5.92,2.75,-9.09
E,-0.17,0.04,1.03,-5.49,8.97,-5.25
E,-0.23,-0.11,1.30,14.71,23.25,-23.13
E,-0.30,-0.17,1.23,13.00,40.53,-17.52
E,-0.44,-0.13,1.30,3.17,39.31,-1.59
E,-0.50,-0.20,1.35,-0.67,50.84,-0.24
E,-0.50,-0.19,1.27,0.18,67.57,9.40
E,-0.49,0.00,1.13,2.50,82.58,21.42
E,-0.49,0.03,0.84,-3.48,91.00,11.96
E,-0.52,-0.05,0.82,-2.93,79.35,9.03
E,-0.50,-0.02,0.61,12.39,86.49,12.51
E,-0.46,0.01,0.52,19.47,76.17,14.10
E,-0.37,0.13,0.64,12.88,50.29,10.44
E,-0.33,0.09,0.47,10.07,53.47,-7.14
E,-0.27,-0.04,0.20,17.09,47.49,-11.29
E,-0.21,-0.06,0.27,31.74,-4.94,4.27
E,-0.21,0.13,0.32,15.26,-24.84,16.42
E,-0.10,0.12,0.37,-6.90,-43.95,-3.48
E,-0.16,-0.08,0.41,3.97,-72.14,-2.99
E,-0.18,-0.04,0.34,14.10,-82.40,11.90
E,-0.24,0.02,0.49,6.16,-105.77,16.42
E,-0.24,0.22,0.72,-1.89,-124.45,19.23
E,-0.19,0.15,0.87,1.83,-129.76,3.91
E,-0.21,-0.07,0.98,9.70,-131.90,-0.37
E,-0.17,0.15,1.15,4.64,-127.32,11.23
E,-0.03,0.08,1.18,7.51,-111.15,-5.86
E,-0.04,0.01,1.18,11.78,-107.24,-3.72
E,-0.04,0.00,1.16,-12.88,-111.82,0.24
E,0.04,-0.02,1.23,-19.35,-123.23,2.14
E,-0.00,-0.02,1.39,0.73,-109.92,-0.43
