Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
F,-0.38,0.24,0.86,14.28,-11.72,-7.63
F,-0.43,0.21,0.93,22.71,-7.87,-4.82
F,-0.25,0.38,0.93,5.80,5.49,8.97
F,-0.35,0.27,0.78,9.70,14.10,-17.70
F,-0.41,0.18,0.83,2.93,-1.22,-11.60
F,-0.44,0.25,0.74,-13.61,7.14,-1.34
F,-0.44,0.25,0.84,-12.63,-6.29,0.67
F,-0.41,0.22,0.92,-16.05,8.91,7.69
F,-0.45,0.45,0.86,-31.37,8.61,18.74
F,-0.47,0.39,0.89,-6.23,6.41,-9.34
F,-0.50,0.28,0.92,-10.01,4.94,-18.07
F,-0.45,0.47,1.04,-9.83,18.86,-5.49
F,-0.44,0.36,1.02,-3.85,26.61,-21.24
F,-0.55,0.03,0.92,-3.42,21.18,-26.31
F,-0.60,0.18,0.94,-9.40,12.94,-3.97
F,-0.60,0.19,0.95,-7.75,24.35,-4.39
F,-0.63,0.18,0.85,-11.17,35.22,4.15
F,-0.72,0.21,0.90,-9.95,35.71,4.46
F,-0.73,0.09,0.91,-4.52,41.38,5.00
F,-0.62,0.21,0.64,-3.23,33.33,28.50
F,-0.63,0.26,0.86,14.34,11.47,24.60
F,-0.59,0.24,0.79,14.22,35.77,16.78
F,-0.52,0.42,0.75,16.48,33.69,17.88
F,-0.46,0.39,0.86,7.75,29.85,-4.94
F,-0.45,0.22,0.67,6.65,30.76,-13.24
F,-0.47,0.12,0.54,1.77,28.87,-11.35
F,-0.47,0.20,0.36,-2.20,16.48,2.75
F,-0.40,0.21,0.35,-2.38,-6.04,-3.91
F,-0.40,0.13,0.41,-1.10,-28.81,-6.35
F,-0.36,0.07,0.38,5.43,-31.92,0.49
F,-0.36,0.23,0.44,7.14,-48.89,13.85
F,-0.37,0.15,0.54,9.34,-57.43,-2.75
F,-0.32,0.13,0.54,-4.03,-53.89,18.25
F,-0.28,0.16,0.43,-17.64,-73.30,25.09
F,-0.25,0.14,0.83,-12.51,-112.24,32.53
F,-0.24,0.18,0.41,-14.10,-70.50,34.85
F,-0.21,0.18,0.48,-12.82,-104.61,37.54
F,-0.08,0.23,0.62,-9.70,-119.69,39.86
F,-0.00,0.10,0.50,-13.12,-126.22,35.28
F,-0.03,0.25,0.83,-5.49,-154.17,57.19
F,0.18,0.18,0.94,-35.16,-164.98,48.52
F,0.29,0.13,1.06,-47.06,-164.25,54.87
F,0.25,0.34,1.04,-34.97,-156.19,54.93
F,0.21,0.27,1.57,-19.29,-150.88,37.29
F,0.31,0.36,1.44,-14.28,-106.02,44.13
F,0.25,0.49,1.56,-6.29,-73.97,30.15
F,0.20,0.63,1.58,13.49,-50.29,12.08
F,0.19,0.39,1.73,14.53,-14.77,-27.65
F,0.16,0.48,1.31,-0.92,29.97,-30.82
F,0.18,0.49,1.62,18.19,30.94,-47.00
F,0.19,0.48,1.51,28.87,86.85,-74.40
F,0.13,0.23,1.66,23.13,128.85,-81.05
F,0.00,0.29,0.95,14.04,198.73,-75.07
F,0.03,-0.02,0.71,26.92,125.24,-83.74
F,-0.17,-0.01,1.23,12.70,83.80,-22.22
F,-0.16,0.15,1.16,9.52,121.34,-8.54
F,-0.09,0.13,0.60,20.39,146.24,-16.78
F,-0.13,0.19,0.61,13.43,87.04,0.43
F,-0.16,0.20,0.78,-2.14,61.04,-5.49
F,-0.20,0.07,0.56,-1.28,47.00,3.30
F,-0.18,0.29,0.79,13.73,30.46,19.17
F,-0.18,0.48,0.62,10.19,40.65,9.58
F,-0.21,0.35,0.60,3.54,27.95,-11.47
F,-0.25,0.20,0.65,4.70,14.71,-4.52
F,-0.29,0.35,0.67,3.97,4.70,8.36
F,-0.28,0.35,0.77,3.48,-3.05,2.69
F,-0.29,0.35,0.59,0.73,4.58,0.73
F,-0.32,0.39,0.78,9.03,-10.74,0.12
F,-0.33,0.51,0.67,5.74,-3.11,6.10
F,-0.40,0.80,0.62,2.20,-11.29,-4.76
F,-0.47,0.91,0.63,0.73,-17.52,-26.37
F,-0.44,0.72,0.58,-1.59,-26.37,-70.25
F,-0.40,0.68,0.59,-12.39,-39.49,-88.44
F,-0.36,0.38,0.75,-7.93,-56.46,-109.74
F,-0.28,0.33,0.91,-12.08,-65.80,-103.33
F,-0.13,-0.11,1.08,-8.85,-45.47,-129.21
F,-0.11,-0.46,1.04,-18.19,-35.46,-113.16
F,-0.10,-0.58,1.17,-13.12,-30.15,-54.02
F,-0.12,-0.45,1.22,-10.07,-17.09,-19.84
F,-0.13,-0.37,1.15,-15.93,4.82,-1.89
F,-0.15,-0.50,1.00,-5.19,3.85,18.25
F,-0.14,-0.43,0.94,-2.08,8.24,44.13
F,-0.21,-0.23,0.86,3.30,9.83,78.49
F,-0.28,0.13,0.81,7.81,-5.55,91.43
F,-0.30,0.24,0.85,10.19,-3.78,85.39
F,-0.32,0.13,0.74,14.22,-6.35,69.27
F,-0.36,0.22,0.85,14.22,-14.89,81.24
F,-0.37,0.54,0.81,6.23,-12.21,76.90
F,-0.40,0.60,0.83,3.66,-15.75,59.51
F,-0.36,0.54,0.83,3.17,-18.07,40.47
F,-0.33,0.35,0.88,4.88,-22.64,33.75
F,-0.27,0.38,0.87,12.15,-20.57,41.44
F,-0.25,0.55,0.91,10.07,-24.29,47.85
F,-0.27,0.88,0.80,10.44,-18.68,40.83
F,-0.28,1.22,0.77,11.90,-28.14,24.72
F,-0.26,1.47,0.83,-16.48,-33.63,-43.46
F,-0.14,0.90,0.85,-13.31,-32.71,-129.09
F,-0.06,0.38,0.86,-10.44,-31.98,-158.39
F,0.00,-0.31,0.98,-31.56,-37.41,-141.48
F,0.01,-0.60,1.05,-35.64,-31.74,-86.98
F,0.01,-0.54,1.10,-15.87,-19.47,-52.98
F,-0.04,-0.35,1.09,-1.28,-5.49,-13.85
F,-0.12,-0.25,1.00,-3.48,2.50,4.33
F,-0.15,-0.06,0.94,-1.46,3.42,17.03
F,-0.20,0.14,1.00,1.10,-6.23,18.13
F,-0.20,0.20,1.01,0.18,1.89,12.76
F,-0.19,0.16,0.98,6.47,7.81,5.31
F,-0.17,0.18,0.91,3.97,9.58,6.47
F,-0.16,0.14,0.99,6.47,8.61,4.15
F,-0.16,0.22,1.13,9.77,23.13,5.19
F,-0.14,0.22,1.17,16.78,40.04,-3.60
F,-0.20,0.10,1.31,35.64,63.72,-18.92
F,-0.42,-0.03,1.18,27.89,101.81,-12.88
F,-0.52,0.09,0.80,-6.10,112.43,6.71
F,-0.63,0.19,1.32,26.49,63.90,12.33
F,-0.68,0.44,0.92,2.08,126.59,24.11
F,-0.67,0.50,0.78,28.56,114.56,9.95
F,-0.68,0.46,0.69,24.66,97.29,-12.02
F,-0.72,0.35,0.58,15.93,86.06,-20.51
F,-0.66,0.31,0.62,18.37,67.99,-23.19
F,-0.57,0.17,0.64,44.80,80.32,-22.83
F,-0.53,0.37,0.31,4.15,98.63,-4.94
F,-0.44,0.32,0.17,13.00,28.50,-30.21
F,-0.51,0.14,0.22,1.16,-4.94,-26.67
F,-0.43,0.20,0.23,2.50,-13.31,-17.94
F,-0.40,0.15,0.24,1.77,-23.50,-13.55
F,-0.34,0.18,0.17,-5.07,-40.95,-6.29
F,-0.34,0.05,0.37,-8.97,-65.49,-0.24
F,-0.28,0.09,0.39,-18.55,-83.44,16.91
F,-0.30,0.07,0.45,-17.03,-89.54,24.11
F,-0.25,0.19,0.41,-25.09,-99.55,30.27
F,-0.20,0.12,0.62,-26.73,-134.22,36.62
F,-0.17,0.18,0.82,-14.59,-135.56,42.30
F,-0.23,0.21,0.60,-15.75,-119.45,42.05
F,-0.17,0.27,0.73,-8.61,-142.27,38.57
F,-0.12,0.30,1.08,-23.50,-148.44,25.70
F,-0.04,0.19,1.09,-20.51,-138.92,28.38
F,-0.12,0.23,1.23,-13.12,-133.18,21.79
F,-0.05,0.23,1.06,-10.38,-118.53,33.45
F,0.09,0.28,1.28,-29.60,-125.49,20.75
F,0.12,0.09,1.14,-34.30,-108.28,11.78
F,0.05,0.15,1.40,-7.08,-98.69,31.43
F,0.16,0.47,1.57,-4.52,-82.40,26.79
F,0.18,0.45,1.59,-8.61,-47.55,1.16
F,0.18,0.14,1.34,-10.99,-19.10,-20.94
F,0.19,0.04,1.47,-7.08,-15.56,-15.93
F,0.19,0.16,1.23,-3.05,12.45,-7.39
F,0.16,0.14,1.22,5.37,28.26,-12.51
F,0.18,0.11,1.11,5.37,45.59,-19.78
F,0.18,0.05,1.12,15.87,50.66,-18.25
F,0.15,0.31,1.49,32.47,74.58,-12.02
F,0.13,0.34,1.66,43.40,110.96,-30.46
F,0.02,0.09,1.34,66.53,190.19,-51.57
F,-0.13,-0.04,0.96,63.90,207.82,-33.94
F,-0.37,0.38,0.95,51.94,175.48,14.28
