Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
G,-0.22,0.03,0.98,13.49,-1.16,-9.52
G,-0.22,0.07,0.93,11.72,3.97,-2.75
G,-0.25,0.13,0.93,13.06,4.46,1.89
G,-0.25,0.16,0.94,10.07,5.74,-10.86
G,-0.22,0.11,0.96,11.96,10.62,-12.21
G,-0.25,0.25,0.90,12.63,25.39,-7.93
G,-0.23,0.12,0.80,15.50,11.47,-37.17
G,-0.29,0.25,0.94,13.79,2.32,-44.56
G,-0.29,0.02,1.07,24.11,16.11,-44.86
G,-0.31,0.17,1.21,-0.92,23.07,-15.87
G,-0.41,0.63,1.54,-13.98,29.36,-10.62
G,-0.47,0.27,1.27,21.73,28.14,-77.39
G,-0.48,0.14,1.04,11.66,46.39,-76.48
G,-0.56,0.07,0.84,16.54,26.79,-81.36
G,-0.46,0.10,0.85,-17.03,29.66,-89.36
G,-0.48,-0.11,0.71,-25.33,20.81,-91.55
G,-0.51,-0.00,0.61,-22.64,6.53,-49.38
G,-0.47,0.19,0.72,-19.90,-15.38,-47.42
G,-0.40,-0.03,0.57,-15.99,-10.07,-71.84
G,-0.32,-0.10,0.65,3.30,-26.37,-63.54
G,-0.24,-0.15,0.70,12.82,-23.44,-60.79
G,-0.10,-0.06,0.90,5.62,-50.90,-44.74
G,-0.21,-0.09,0.92,-8.24,-37.11,-46.57
G,-0.23,-0.13,0.83,2.32,-32.59,-50.90
G,-0.25,-0.39,0.81,13.31,-35.40,-45.41
G,-0.28,-0.38,0.83,5.74,-38.57,-25.15
G,-0.39,-0.30,1.29,-9.70,-42.85,-15.87
G,-0.32,-0.43,1.23,-5.37,0.12,1.34
G,-0.26,-0.59,1.22,0.55,16.24,9.64
G,-0.17,-0.69,0.97,20.51,38.27,51.88
G,-0.17,-0.45,0.97,28.56,25.94,108.46
G,-0.13,-0.20,1.15,16.11,26.31,125.18
G,-0.04,0.04,0.51,8.12,61.95,141.05
G,-0.10,-0.02,0.81,30.03,13.85,134.58
G,-0.08,0.08,0.82,28.02,21.67,136.47
G,-0.04,0.07,0.63,11.72,25.39,155.15
G,-0.04,0.49,0.02,1.95,13.12,168.95
G,-0.07,0.41,0.88,23.07,-69.52,125.06
G,0.02,0.17,0.53,28.87,-35.58,127.32
G,-0.01,0.15,0.53,32.04,-53.59,148.74
G,0.02,0.46,0.59,32.17,-76.66,155.82
G,0.03,0.81,0.71,41.87,-84.41,164.25
G,-0.07,1.16,0.82,33.02,-91.37,106.20
G,-0.01,0.63,0.87,0.55,-86.12,36.44
G,-0.02,0.75,0.66,0.92,-74.16,44.68
G,0.05,1.01,1.18,14.22,-113.28,21.36
G,0.12,0.93,1.06,-19.17,-73.73,-21.85
G,0.19,0.81,0.94,-45.23,-61.95,-49.19
G,0.09,0.81,0.94,-61.89,-53.83,-73.79
G,0.08,0.83,1.16,-58.47,-64.39,-106.20
G,0.13,0.67,1.23,-79.53,-25.27,-158.14
G,0.21,0.09,0.85,-82.64,-2.56,-183.29
G,0.10,-0.11,1.13,-61.95,-14.95,-164.06
G,0.02,0.06,1.32,-68.05,13.98,-144.84
G,0.25,-0.16,1.16,-56.15,54.69,-160.89
G,0.09,-0.61,1.15,0.31,53.47,-151.55
G,0.03,-0.66,1.08,-10.25,44.07,-86.49
G,-0.07,-0.51,1.27,-26.25,39.00,-40.34
G,0.01,-0.49,0.99,-4.94,66.35,-23.07
G,0.04,-0.50,1.04,26.12,43.46,17.40
G,0.06,-0.53,1.06,13.61,37.48,52.19
G,0.21,-0.47,0.98,-13.12,41.26,111.69
G,0.24,-0.16,0.34,-31.43,29.85,165.89
G,0.14,-0.14,0.76,1.46,-21.06,173.34
G,0.10,1.06,0.55,17.52,-21.73,186.83
G,-0.06,1.25,0.83,24.48,-13.85,101.93
G,-0.10,1.05,0.75,20.63,-13.49,41.93
G,-0.09,0.68,0.78,8.61,-14.77,6.41
G,-0.11,0.68,0.82,-5.98,-19.29,-0.12
G,-0.10,0.42,0.85,-10.86,-20.08,-20.87
G,-0.05,0.32,0.96,-11.29,-20.32,-29.05
G,-0.05,0.21,1.03,-13.92,-15.14,-31.31
G,-0.07,0.21,1.02,-14.89,-6.77,-26.98
G,-0.06,0.16,1.17,10.07,11.96,-27.95
G,-0.03,0.50,1.23,8.06,52.98,-21.00
G,-0.03,0.66,1.43,25.57,135.74,-78.49
G,0.05,0.59,0.89,13.49,170.78,-104.92
G,-0.19,0.61,1.04,-8.30,101.81,-157.53
G,-0.25,-0.27,0.83,-20.20,123.41,-171.14
G,-0.53,-0.19,0.90,-36.32,95.52,-109.07
G,-0.44,0.02,0.96,-39.43,109.80,-99.91
G,-0.59,-0.42,0.27,-19.78,49.01,-102.36
G,-0.63,-0.18,0.89,-22.89,-20.63,-76.05
G,-0.56,-0.39,0.69,-2.50,8.00,-66.65
G,-0.52,-0.05,0.49,-16.54,-12.02,-47.18
G,-0.55,-0.34,0.81,-6.53,-29.85,-67.81
G,-0.46,-0.26,0.82,0.24,-33.75,-35.03
G,-0.56,-0.33,0.91,8.48,-37.72,-30.03
G,-0.51,-0.34,0.79,17.94,-3.36,-21.67
G,-0.47,-0.30,0.87,-1.95,1.16,-10.93
G,-0.40,-0.41,0.49,-21.67,11.17,-1.95
G,-0.48,-0.49,0.76,-26.37,-26.18,20.75
G,-0.43,-0.38,0.86,-38.82,-28.44,38.57
G,-0.44,-0.27,1.01,-15.50,-11.23,49.56
G,-0.33,-0.42,0.77,12.21,16.36,54.26
G,-0.25,-0.46,0.60,6.84,0.43,73.55
G,-0.17,-0.31,0.82,2.69,-33.20,111.15
G,-0.20,0.12,0.84,-0.37,-36.74,124.21
G,-0.15,0.14,0.89,6.29,-37.35,104.43
G,-0.16,-0.03,0.73,19.10,-32.04,100.52
G,-0.17,0.03,0.59,25.09,-41.32,108.15
G,-0.26,0.38,0.53,32.96,-61.28,118.77
G,-0.23,0.46,0.59,27.65,-78.67,91.49
G,-0.18,0.23,0.59,18.37,-88.50,77.58
G,-0.16,0.32,0.68,30.82,-89.29,92.10
G,-0.08,0.50,0.96,31.86,-108.58,96.13
G,-0.08,0.45,0.83,14.59,-92.90,81.36
G,-0.09,0.59,0.76,33.39,-83.68,72.63
G,-0.02,0.55,1.13,9.70,-117.61,50.66
G,0.03,0.74,1.23,-17.09,-94.24,41.38
G,0.03,0.54,0.96,-9.34,-76.90,3.11
