Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
H,-0.33,0.04,0.92,12.33,-0.18,-3.48
H,-0.33,0.10,0.91,10.19,-0.43,0.79
H,-0.34,0.06,0.99,10.93,-3.23,-1.22
H,-0.34,0.12,0.98,9.95,5.98,0.92
H,-0.36,0.07,0.94,16.91,9.46,3.11
H,-0.31,0.21,1.02,36.62,19.96,-2.26
H,-0.27,0.01,0.89,38.51,39.00,-15.69
H,0.56,0.39,0.99,53.04,35.58,-37.60
H,-0.47,0.05,0.99,33.39,18.74,-16.66
H,-0.37,0.19,0.99,15.01,61.71,-1.89
H,-0.56,0.12,1.20,31.07,59.27,-25.15
H,-0.58,0.29,0.90,2.93,69.76,-22.95
H,-0.75,0.03,1.20,11.29,18.19,-45.72
H,-0.84,0.08,0.94,-17.70,25.76,-20.08
H,-0.80,0.15,1.00,-19.23,16.66,-12.51
H,-0.72,0.14,0.98,-24.90,32.35,-7.57
H,-0.65,-0.01,0.58,-22.40,48.77,-6.04
H,-0.67,-0.10,0.61,-8.85,26.37,-2.93
H,-0.59,0.04,0.45,2.56,33.75,10.99
H,-0.59,0.07,0.50,7.93,23.86,7.45
H,-0.56,0.23,0.65,11.84,17.09,12.63
H,-0.47,0.10,0.60,3.23,7.08,-2.56
H,-0.42,0.05,0.53,-1.89,1.77,2.75
H,-0.41,0.06,0.56,-5.43,-11.66,12.21
H,-0.34,0.24,0.68,-14.22,-33.51,15.01
H,-0.34,0.13,0.70,-8.36,-27.16,-2.50
H,-0.31,0.04,0.55,1.89,-29.24,-3.78
H,-0.32,-0.02,0.47,-0.43,-36.50,4.33
H,-0.29,0.03,0.36,-3.97,-59.63,14.16
H,-0.32,0.04,0.54,-1.04,-78.55,14.89
H,-0.25,0.06,0.44,-1.10,-74.71,18.86
H,-0.26,0.08,0.59,-5.43,-104.19,27.28
H,-0.27,0.25,0.65,-8.67,-104.43,28.20
H,-0.22,0.24,0.74,-10.07,-115.23,18.68
H,-0.18,0.25,0.85,-7.69,-117.74,23.99
