Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
I,-0.49,0.15,0.84,4.64,-3.23,-5.37
I,-0.48,0.19,0.80,0.55,-0.18,-2.26
I,-0.47,0.20,0.88,0.49,-4.39,1.53
I,-0.46,0.25,0.83,0.06,4.94,3.85
I,-0.49,0.23,0.82,6.84,3.78,1.95
I,-0.49,0.31,0.77,6.71,8.54,4.09
I,-0.52,0.23,0.76,16.48,4.82,-3.23
I,-0.52,0.19,0.85,17.64,-1.89,-2.20
I,-0.50,0.24,0.78,5.55,11.17,5.31
I,-0.51,0.25,0.87,1.83,3.23,5.37
I,-0.50,0.35,0.66,-15.50,13.92,6.41
I,-0.52,0.31,0.78,-8.24,-7.02,-11.35
I,-0.50,0.32,0.80,-10.74,4.39,-22.46
I,-0.49,0.26,0.76,-4.82,1.04,-31.80
I,-0.55,0.11,0.79,-2.44,-3.11,-28.20
I,-0.60,0.15,0.93,0.55,-13.24,-15.32
I,-0.60,0.26,1.04,-0.67,0.61,-18.25
I,-0.67,0.16,1.13,18.62,20.26,-36.19
I,-0.71,0.05,1.06,15.56,35.77,-26.43
I,-0.67,0.19,0.97,-2.62,44.49,-10.56
I,-0.66,0.14,0.67,5.00,53.65,-17.03
I,-0.65,0.16,0.60,2.69,33.94,-25.02
I,-0.56,-0.06,0.48,-16.17,26.25,-38.27
I,-0.57,-0.03,0.46,-25.21,7.81,-0.37
I,-0.49,0.17,0.44,-25.82,-0.37,14.40
I,-0.55,0.18,0.63,-5.98,-35.89,-1.89
I,-0.51,0.10,0.74,-2.01,-32.90,-5.98
I,-0.57,0.02,0.54,-9.64,-31.25,20.26
I,-0.65,0.21,0.91,6.96,-66.35,30.94
I,-0.80,0.21,1.18,12.33,-52.92,12.63
I,-0.88,0.18,1.35,-6.04,-13.61,4.76
I,-0.91,0.25,1.15,1.65,34.12,21.42
I,-0.89,0.36,0.99,2.01,42.42,23.56
I,-0.86,0.20,0.77,-9.58,20.14,-2.50
I,-0.76,0.11,0.81,6.96,5.19,-6.47
I,-0.65,0.07,0.65,11.90,25.39,-3.78
I,-0.48,0.21,0.73,13.18,12.39,10.44
I,-0.58,0.31,0.72,1.28,15.62,6.10
I,-0.46,0.16,0.61,22.28,22.58,-23.80
I,-0.41,0.01,0.43,28.75,11.17,-20.81
I,-0.40,0.01,0.20,13.55,12.39,-4.39
I,-0.37,0.21,0.32,-18.43,-26.18,3.36
I,-0.31,0.09,0.33,-14.95,-28.44,-13.61
I,-0.29,0.07,0.32,1.28,-30.46,-10.99
I,-0.26,-0.03,0.22,8.48,-58.96,6.41
I,-0.25,0.03,0.15,8.61,-74.95,26.73
I,-0.23,0.06,0.20,13.98,-104.43,26.79
I,-0.08,-0.03,0.27,10.99,-140.32,36.80
I,-0.12,0.14,0.42,24.17,-161.80,49.07
I,-0.02,0.21,0.44,1.22,-192.38,48.95
I,0.13,0.24,0.91,-6.47,-221.13,50.72
I,0.28,0.41,1.31,-18.98,-239.07,40.59
I,0.20,0.40,1.64,-26.43,-168.95,28.14
I,0.20,0.21,2.06,-12.94,-144.53,7.45
I,0.11,0.38,2.18,-10.19,-47.79,1.65
I,0.08,0.38,1.68,-8.54,32.17,-20.14
I,0.01,0.48,1.17,-6.77,54.69,-26.31
I,-0.08,0.19,1.00,11.05,49.01,-34.97
I,-0.08,0.20,0.90,6.04,48.22,-24.11
I,-0.06,0.32,1.11,-13.43,57.74,-18.55
I,-0.12,0.31,0.43,-10.50,90.64,-41.69
I,-0.11,0.11,0.74,17.03,17.27,-52.55
I,-0.13,-0.05,1.04,-0.49,8.85,-17.82
I,-0.11,0.15,0.96,-5.37,12.51,1.59
I,-0.14,0.28,0.87,-10.80,9.16,2.50
I,-0.09,0.12,1.10,4.88,-11.78,-26.18
I,-0.12,0.04,0.99,-8.91,7.93,-11.84
I,-0.12,0.20,0.97,-9.16,-4.58,1.10
I,-0.14,0.22,0.95,-1.40,-2.93,-8.85
I,-0.13,0.14,0.95,7.87,-2.50,-15.93
I,-0.14,0.11,0.91,2.26,-4.64,-2.08
I,-0.11,0.16,0.92,4.27,-6.23,-1.65
I,-0.11,0.17,0.90,1.95,-6.53,-4.39
I,-0.10,0.21,1.02,5.19,-11.29,-7.51
I,-0.09,0.14,0.96,1.83,-2.93,-7.75
I,-0.11,0.14,0.95,0.18,-1.16,-0.73
I,-0.09,0.19,0.90,3.54,-3.23,-3.23
I,-0.10,0.17,1.00,5.19,-9.09,-8.06
I,-0.10,0.18,1.01,1.89,-0.85,-8.24
I,-0.08,0.14,1.02,3.05,5.49,-11.66
I,-0.11,0.16,0.96,0.43,15.01,-10.74
I,-0.13,0.21,1.03,4.46,9.40,-14.47
I,-0.15,0.17,1.03,6.96,18.13,-22.22
I,-0.19,0.10,0.89,-3.54,23.99,-21.36
I,-0.21,0.18,0.95,-3.11,9.16,-10.25
I,-0.19,0.18,1.01,3.72,11.17,-13.98
I,-0.18,0.16,0.91,-0.55,26.18,-15.01
I,-0.19,0.11,0.86,0.18,22.09,-16.17
I,-0.17,0.26,1.17,7.39,11.11,-12.08
I,-0.16,0.34,1.49,6.84,49.07,-39.31
I,-0.22,0.43,1.63,-16.11,97.60,-60.85
I,-0.22,0.10,1.57,11.60,196.59,-118.23
I,-0.48,-0.55,1.02,47.12,292.42,-115.48
I,-0.77,-0.47,0.32,-15.38,291.63,-29.30
I,-0.90,0.35,0.35,-46.69,173.34,54.32
I,-0.91,0.47,0.35,-27.65,138.98,27.04
I,-0.98,0.09,0.28,18.68,82.82,-22.03
I,-0.94,-0.01,0.37,10.44,31.56,-0.73
I,-0.87,0.16,0.51,-4.52,15.87,10.74
I,-0.88,0.25,0.64,2.32,15.62,-3.78
I,-0.76,0.03,0.43,19.10,35.71,-31.56
I,-0.75,-0.14,0.35,31.07,23.50,-26.31
I,-0.68,0.03,0.38,18.37,13.49,10.50
I,-0.59,-0.12,0.08,10.44,35.28,-12.39
I,-0.52,-0.12,-0.26,-8.48,14.28,7.02
