Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
K,-0.32,-0.03,0.57,6.53,-10.01,1.89
K,-0.32,0.10,0.66,6.59,-24.84,15.14
K,-0.28,0.26,0.64,6.47,-34.30,14.34
K,-0.22,0.22,0.55,9.95,-36.99,2.62
K,-0.14,-0.02,0.38,12.51,-56.27,8.00
K,-0.11,0.05,0.35,17.03,-98.02,27.65
K,-0.04,0.03,0.36,8.61,-113.89,33.02
K,0.11,0.08,0.62,10.68,-144.78,51.45
K,0.17,0.22,0.68,11.78,-148.13,60.18
K,0.17,0.22,0.78,20.26,-181.70,52.55
K,0.17,0.39,1.55,17.70,-186.58,62.81
K,0.27,0.75,1.74,11.78,-150.70,61.89
K,0.19,0.74,2.04,10.62,-94.18,0.31
K,0.06,0.27,1.85,-11.60,-38.09,-28.08
K,0.07,0.06,1.99,-29.42,-19.96,-26.55
K,0.16,-0.05,1.51,-11.96,49.56,-7.26
K,0.18,0.10,1.20,12.08,61.40,12.02
K,0.09,0.21,0.99,9.03,62.44,12.51
K,0.08,0.06,0.58,-1.95,53.04,15.75
K,0.07,0.20,0.62,7.45,15.87,31.43
K,0.14,0.18,0.62,18.86,-13.85,28.08
K,0.08,0.40,0.60,3.11,-8.42,32.41
K,0.02,0.67,0.72,6.16,-30.03,30.03
K,-0.03,0.75,1.05,-7.02,-26.25,-11.23
K,-0.05,0.55,1.21,-1.95,-21.30,-31.31
K,-0.03,0.62,1.52,5.19,-0.18,-37.05
K,0.09,0.64,1.42,0.92,23.56,-49.99
K,0.17,0.77,1.38,-5.62,34.24,-64.09
K,0.22,0.48,1.10,-6.47,44.31,-101.93
K,0.24,0.23,0.82,-19.04,50.84,-106.75
K,0.26,-0.03,0.73,-23.68,47.73,-105.29
K,0.29,-0.37,0.72,-21.61,43.09,-92.53
K,0.29,-0.44,0.74,-13.85,37.72,-66.59
K,0.21,-0.34,0.77,-6.47,31.92,-29.72
K,0.14,-0.29,0.85,-0.98,23.32,-6.41
K,0.07,-0.26,0.91,6.71,31.68,3.36
K,0.01,-0.05,1.03,4.46,25.39,27.16
K,-0.02,0.01,0.88,-0.85,39.31,34.18
K,-0.11,0.09,0.75,3.66,33.39,38.70
K,-0.16,0.21,0.99,16.85,35.22,36.25
K,-0.17,0.26,1.03,12.57,47.06,36.50
K,-0.16,0.03,0.47,-6.71,67.32,42.97
K,-0.17,0.21,0.70,19.04,-10.38,54.69
K,-0.20,0.20,0.86,21.18,5.80,50.54
K,-0.09,0.36,0.73,15.75,18.01,58.29
K,-0.06,0.76,-0.06,-10.93,29.54,71.66
K,-0.00,0.97,0.04,9.64,-42.05,39.92
K,0.06,0.84,-0.03,7.39,-91.19,-8.06
K,0.17,0.95,-0.22,-5.43,-142.58,-15.01
K,0.25,0.26,0.98,3.78,-226.99,-80.32
K,0.30,0.53,1.40,-39.49,-181.58,-35.77
K,0.35,0.19,1.72,-45.04,-153.26,-91.13
K,0.31,-0.72,1.87,-31.19,-79.90,-96.07
K,0.17,-0.26,2.08,-24.41,-37.29,-17.27
K,0.17,-0.04,2.39,-29.66,8.73,-29.66
K,0.11,-0.32,1.47,-33.45,90.52,-36.74
K,-0.03,-0.16,1.71,-13.49,77.45,-12.21
K,-0.15,-0.01,1.40,-28.14,120.30,-0.49
K,-0.27,0.55,1.27,-36.01,145.02,9.77
K,-0.17,0.40,1.04,-2.99,132.75,-23.07
K,-0.25,-0.00,1.36,24.60,106.08,-29.48
K,-0.38,0.18,0.67,-9.95,138.24,3.42
K,-0.36,0.46,0.87,-1.04,88.38,0.98
K,-0.22,0.15,0.78,11.90,102.11,-46.69
K,-0.21,-0.12,0.52,11.96,107.97,-42.42
K,-0.30,0.14,0.71,10.86,62.38,-11.90
K,-0.25,0.15,0.61,2.62,66.10,-7.45
K,-0.21,0.24,0.48,5.19,50.78,13.98
K,-0.22,0.12,0.58,26.49,25.94,2.56
K,-0.16,0.16,0.26,9.64,25.45,8.91
K,-0.09,0.13,0.16,-2.38,-9.09,10.80
K,-0.02,0.07,0.36,-4.76,-63.11,29.79
K,0.03,0.04,0.22,-7.63,-63.35,37.29
K,0.04,-0.01,0.04,15.50,-87.83,40.77
K,0.15,-0.09,-0.00,18.49,-151.43,60.85
K,0.19,-0.08,0.03,2.93,-189.39,80.20
K,0.34,0.12,0.58,24.54,-248.05,108.28
K,0.24,0.51,1.46,38.82,-245.48,125.24
K,0.39,1.02,1.72,23.99,-203.31,101.62
K,0.35,0.92,2.29,2.93,-143.92,8.24
K,0.16,0.73,2.29,-13.98,-73.91,-26.12
K,0.08,0.65,2.46,-36.87,-2.44,-30.27
K,0.13,0.23,2.16,-24.48,88.87,-42.54
K,0.12,0.16,1.43,-16.36,141.30,-31.92
K,-0.04,0.15,0.94,2.44,104.61,-17.82
K,-0.03,-0.02,0.83,3.17,89.66,-3.42
K,-0.06,0.02,0.59,8.18,82.95,18.07
K,0.01,0.04,0.44,35.77,24.41,18.01
K,-0.01,-0.08,0.58,38.82,7.57,16.66
K,0.07,0.29,0.60,14.10,3.66,40.47
K,0.07,0.13,0.69,17.88,-12.45,26.31
