Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
L,-0.25,0.23,0.87,2.99,-2.81,-2.56
L,-0.24,0.15,0.85,-0.06,-2.81,-7.93
L,-0.24,0.23,0.96,-1.46,-8.85,-9.89
L,-0.20,0.32,1.02,-15.81,8.85,-28.56
L,-0.24,0.27,1.04,-20.14,26.55,-57.43
L,-0.30,0.29,1.07,5.07,31.13,-52.43
L,-0.20,0.26,0.93,14.77,64.39,-61.52
L,-0.34,0.08,0.89,-15.32,26.61,-47.18
L,-0.35,-0.01,0.93,-18.19,38.15,-31.98
L,-0.53,0.01,0.97,-37.11,55.05,21.55
L,-0.41,0.20,1.00,-67.50,98.63,47.73
L,-0.39,0.50,0.55,-78.12,72.81,-5.31
L,-0.54,-0.28,0.86,-17.40,-35.10,-78.49
L,-0.53,0.02,0.94,-44.62,-24.17,-32.96
L,-0.63,-0.17,1.10,11.05,-13.49,-62.13
L,-0.60,-0.32,0.81,-65.86,-4.15,-51.21
L,-0.61,-0.43,0.89,-28.99,-13.31,-27.83
L,-0.58,0.03,0.89,-11.84,-28.87,-21.97
L,-0.56,-0.24,1.04,23.80,-28.56,-54.75
L,-0.42,-0.24,0.87,25.09,3.23,-15.08
L,-0.49,-0.12,0.93,-14.34,5.68,4.88
L,-0.45,-0.19,0.96,14.16,6.47,2.81
L,-0.39,0.16,1.01,40.41,35.52,17.27
L,-0.44,-0.10,1.03,35.34,71.96,25.45
L,-0.44,-0.19,0.48,-35.22,91.37,42.60
L,-0.52,-0.09,0.86,-82.28,11.60,75.68
L,-0.48,0.02,0.68,-93.87,32.04,61.83
L,-0.54,0.08,0.67,-13.92,-29.17,33.08
L,-0.39,0.05,0.81,26.98,-20.81,30.52
L,-0.30,-0.03,0.72,46.94,-23.07,24.41
L,-0.23,0.00,0.62,7.08,-19.84,18.74
L,-0.16,-0.03,0.32,-1.95,-28.69,10.01
L,-0.14,-0.01,0.33,29.30,-60.91,1.22
L,0.03,0.05,0.18,19.41,-50.96,13.85
L,0.05,-0.06,0.12,31.56,-79.77,0.24
L,0.11,-0.18,0.10,2.08,-140.50,35.22
L,0.15,-0.02,0.08,8.67,-179.26,54.69
L,0.17,-0.06,0.52,9.70,-236.21,51.51
L,0.11,0.19,1.67,34.91,-227.97,47.24
L,0.04,0.35,2.12,57.07,-156.56,23.86
L,0.05,-0.02,2.22,24.17,-110.66,14.28
L,0.04,0.26,2.39,-10.62,-17.58,63.54
L,0.02,-0.03,2.12,-17.27,37.96,21.91
L,-0.04,0.04,0.99,-7.08,53.77,40.71
L,-0.04,0.24,1.22,6.84,37.17,29.91
L,-0.05,0.11,1.00,-4.09,43.27,26.67
L,-0.05,0.21,0.91,-17.40,44.68,31.01
L,0.02,-0.01,0.43,-6.90,23.25,24.29
L,0.02,0.14,0.82,12.51,-10.68,29.91
L,0.10,0.36,0.84,14.77,-0.49,23.93
L,0.12,0.49,0.88,11.72,2.56,14.89
L,0.12,0.84,0.81,27.16,-0.31,-10.68
L,0.10,0.92,0.74,20.08,-7.69,-47.00
L,0.07,0.75,0.62,14.89,-12.15,-75.81
L,0.05,0.83,0.39,9.34,-41.14,-88.93
L,0.08,0.39,0.58,-14.40,-85.45,-128.97
L,0.15,0.04,0.79,-31.86,-89.60,-139.89
L,0.37,-0.61,1.20,-23.19,-79.47,-147.95
L,0.44,-1.00,1.39,-17.33,-55.85,-126.59
L,0.44,-0.99,1.44,-7.81,-15.38,-61.04
L,0.25,-0.42,1.31,-5.31,-13.79,-8.36
L,0.20,-0.20,1.24,-7.26,-4.21,-1.59
L,0.11,-0.16,1.14,-17.03,12.02,7.14
L,0.06,0.07,1.10,-10.62,27.59,18.80
L,0.07,0.16,0.93,3.05,29.66,8.54
L,0.10,-0.02,1.07,10.56,26.67,-3.78
L,0.11,-0.10,1.00,6.04,27.89,4.03
L,0.07,-0.02,1.19,-8.67,36.87,13.79
L,0.09,-0.14,1.14,-10.93,68.30,14.10
L,0.02,-0.10,1.11,-17.03,74.10,26.37
L,-0.08,0.05,1.17,-13.55,60.49,33.51
L,-0.16,0.01,1.19,11.23,70.37,27.95
L,-0.23,0.12,1.12,20.45,84.05,23.62
L,-0.27,0.23,1.07,19.65,86.43,10.99
L,-0.27,0.22,1.03,18.37,90.76,0.98
L,-0.31,0.14,0.77,17.46,88.38,-4.33
L,-0.36,0.10,0.82,10.19,63.72,8.12
L,-0.37,0.18,0.75,1.46,60.00,15.93
L,-0.40,0.21,0.74,-0.31,45.47,8.54
L,-0.39,0.11,0.80,8.18,36.68,-0.43
L,-0.42,0.12,0.80,2.93,34.48,0.85
L,-0.47,0.10,0.81,12.57,32.53,1.22
L,-0.45,0.17,0.91,10.68,28.50,1.95
L,-0.44,0.12,0.75,0.12,35.34,-5.80
L,-0.46,0.14,0.81,4.15,19.17,-8.85
L,-0.46,0.13,0.79,1.04,16.85,-6.84
L,-0.41,0.17,0.84,5.49,17.27,-4.58
L,-0.40,0.17,0.80,-3.11,19.10,-6.90
L,-0.39,0.14,0.76,2.38,23.62,-11.72
L,-0.41,0.09,0.60,3.66,23.01,-15.14
L,-0.39,0.03,0.58,0.79,10.31,-10.44
L,-0.34,0.13,0.58,-2.08,-4.46,-4.76
L,-0.30,0.03,0.52,2.87,-9.70,-12.21
L,-0.29,-0.03,0.39,9.40,-14.47,-4.88
L,-0.23,-0.02,0.23,6.96,-40.10,8.12
L,-0.14,-0.08,0.31,8.48,-65.61,12.02
L,-0.13,-0.09,0.34,12.33,-97.53,31.49
L,-0.10,0.06,0.31,-0.67,-115.66,47.24
L,-0.03,0.06,0.48,-2.75,-142.46,42.85
L,0.06,0.02,0.89,6.84,-160.95,33.20
L,-0.03,0.33,1.06,0.12,-158.51,44.19
L,-0.02,0.35,1.57,-9.40,-166.08,28.38
L,-0.03,0.26,1.70,-3.48,-115.60,17.58
L,-0.11,0.35,1.75,-8.85,-86.12,6.53
L,-0.15,0.15,1.66,-19.29,-57.68,1.65
L,-0.04,-0.00,1.55,-23.68,-25.76,4.33
L,0.01,-0.09,1.42,-15.08,-13.24,6.59
L,0.01,0.05,1.22,-4.88,6.04,18.49
L,-0.00,0.05,1.08,1.46,14.77,19.96
L,0.01,0.11,0.91,9.64,12.21,24.60
L,0.01,0.17,0.99,33.26,2.69,25.51
L,0.02,0.23,0.85,51.51,12.33,25.57
L,0.05,0.20,0.89,31.01,0.43,16.05
L,0.06,0.25,0.91,14.59,-1.83,11.72
L,0.06,0.31,0.93,10.80,0.18,5.86
L,0.05,0.37,0.91,0.85,-1.95,-8.73
L,0.06,0.27,0.89,-10.44,-7.02,-20.39
L,0.03,0.35,0.87,-15.87,-8.18,-18.86
L,0.02,0.38,0.93,-13.18,-14.40,-29.97
L,0.03,0.30,0.87,-9.89,-11.66,-34.00
L,0.05,0.33,0.88,-15.50,-15.20,-34.48
L,0.08,0.35,1.00,-20.39,-20.14,-46.57
L,0.09,0.21,0.96,-20.51,-15.81,-57.43
L,0.07,0.20,0.95,-18.98,-13.43,-54.32
L,0.08,0.30,1.01,-20.57,-15.32,-53.77
L,0.10,0.21,0.91,-17.70,-14.89,-65.80
L,0.16,-0.11,0.91,-12.76,-17.40,-79.41
L,0.17,-0.34,0.88,-18.49,-19.96,-68.66
L,0.20,-0.41,0.91,-17.94,-25.15,-36.32
L,0.21,-0.29,1.05,-5.86,-22.77,-18.43
L,0.21,-0.27,1.04,-8.42,-18.68,-14.16
L,0.21,-0.25,1.04,-8.00,-10.50,-5.86
L,0.19,-0.28,0.97,-7.02,-6.53,2.50
L,0.16,-0.13,1.01,-6.10,-4.15,13.37
L,0.15,-0.05,1.02,-1.77,-2.81,11.35
L,0.18,-0.01,0.95,3.30,4.46,10.01
L,0.22,-0.11,1.04,8.18,6.96,7.45
L,0.25,-0.14,1.07,14.28,26.98,10.50
L,0.31,-0.17,1.16,26.25,38.70,6.47
L,0.35,-0.56,1.23,65.98,76.42,-14.22
L,-0.00,-0.33,0.89,46.33,104.19,40.65
L,-0.20,0.38,0.99,34.73,66.89,81.18
L,-0.43,0.74,1.21,51.70,56.21,59.45
L,-0.50,0.77,1.09,46.02,71.17,36.74
L,-0.52,0.86,1.13,27.34,63.17,6.84
L,-0.55,0.54,0.87,16.17,66.71,-28.69
L,-0.55,0.37,0.95,21.12,25.76,-26.79
L,-0.26,0.29,1.14,24.11,4.39,-19.17
L,-0.18,0.44,1.15,-2.87,42.30,-18.13
L,-0.11,0.24,1.05,-8.54,61.95,-44.07
L,-0.26,0.08,0.93,-26.31,69.89,-37.17
L,-0.21,0.07,0.77,-32.84,74.58,-28.50
