Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
M,-0.25,0.24,0.87,2.99,-1.71,-4.46
M,-0.26,0.25,0.90,-1.28,-5.00,-4.09
M,-0.28,0.32,0.92,-1.71,-3.91,-8.85
M,-0.28,0.19,0.94,4.09,0.12,-18.13
M,-0.23,0.11,0.96,-4.33,2.87,-3.97
M,-0.29,0.29,0.92,-19.47,5.00,13.49
M,-0.32,0.43,0.92,-5.43,17.40,-24.84
M,-0.28,0.20,0.87,-3.72,16.17,-41.87
M,-0.27,0.12,0.88,-15.56,8.18,-33.33
M,-0.31,0.19,0.93,-46.69,3.05,-12.82
M,-0.34,0.21,0.90,-84.35,16.97,-13.06
M,-0.31,0.12,0.94,-69.40,32.29,-17.88
M,-0.31,-0.10,0.82,-36.80,17.82,-9.16
M,-0.35,0.02,0.93,-17.64,6.59,21.73
M,-0.34,0.18,0.95,-24.41,25.21,2.44
M,-0.36,-0.07,0.76,-33.39,29.85,3.54
M,-0.39,0.03,0.86,-33.14,2.75,21.12
M,-0.42,0.17,0.99,-24.23,-2.14,9.16
M,-0.44,-0.01,1.02,-22.58,-3.11,-11.60
M,-0.45,-0.05,1.16,-19.35,1.10,-4.39
M,-0.42,-0.01,0.92,-26.98,3.42,9.28
M,-0.44,0.01,1.01,-30.40,-17.76,5.43
M,-0.42,-0.09,0.90,-35.28,-22.22,1.10
M,-0.47,-0.13,1.07,-34.42,-54.38,23.80
M,-0.53,-0.17,1.23,-58.11,-33.51,25.63
M,-0.43,-0.04,1.22,-20.75,-11.47,28.08
M,-0.44,-0.05,1.20,-28.81,15.93,13.12
M,-0.48,-0.40,1.23,-17.03,27.83,9.22
M,-0.46,-0.06,1.05,0.37,60.12,27.89
M,-0.46,-0.28,0.74,23.19,72.57,14.28
M,-0.42,-0.20,0.62,37.54,22.03,44.49
M,-0.36,-0.04,0.78,11.29,4.58,46.88
M,-0.29,0.01,0.78,20.94,-11.35,57.56
M,-0.29,0.18,0.79,18.31,-5.00,29.17
M,-0.23,0.08,0.61,14.77,8.67,14.47
M,-0.19,0.08,0.57,8.54,2.14,9.34
M,-0.16,-0.05,0.47,7.51,-9.03,7.26
M,-0.10,0.15,0.47,10.25,-18.86,13.55
M,-0.02,0.05,0.33,1.83,-34.36,-3.54
M,-0.09,-0.00,0.14,23.93,-72.45,16.42
M,-0.04,0.06,0.14,11.29,-98.02,16.36
M,0.06,-0.11,0.03,1.04,-139.71,19.10
M,0.23,-0.14,0.30,-21.12,-199.89,28.20
M,0.33,-0.08,0.57,-26.79,-229.19,40.22
M,0.34,0.15,1.48,-14.83,-231.75,49.38
M,0.36,0.21,1.71,-7.57,-195.31,36.68
M,0.39,0.00,2.27,-10.86,-161.19,30.09
M,0.35,0.21,2.51,21.73,-65.31,4.33
M,0.26,0.18,2.43,28.26,3.48,-10.25
M,0.07,0.10,2.04,25.76,85.88,-13.49
M,0.00,0.23,1.68,33.87,127.99,-25.02
M,-0.06,0.20,1.45,44.43,142.70,-39.49
M,-0.09,0.21,1.28,34.06,169.98,-47.91
M,-0.13,0.02,0.93,22.71,170.65,-52.73
M,-0.17,-0.01,0.66,3.17,136.84,-15.08
M,-0.16,0.09,0.60,1.40,104.25,-0.12
M,-0.11,0.22,0.76,15.26,90.52,-0.85
M,-0.03,0.24,0.51,17.58,111.94,-29.17
M,-0.04,0.06,0.25,23.86,77.76,-40.10
M,-0.09,0.09,0.29,12.33,37.29,-25.27
M,-0.10,0.21,0.32,10.93,2.08,-8.97
M,-0.04,0.24,0.29,8.67,-15.08,-5.98
M,-0.01,0.17,0.17,7.39,-47.97,-17.88
M,-0.02,0.11,0.03,8.61,-96.56,-11.72
M,0.03,0.17,0.35,17.76,-149.11,-4.33
M,-0.01,-0.04,0.58,-7.63,-153.75,13.92
M,0.09,0.01,0.95,3.72,-160.28,30.03
M,0.12,0.20,0.99,-3.17,-140.75,23.38
M,0.02,-0.12,1.29,-26.06,-130.62,5.92
M,0.05,-0.26,1.51,-35.64,-122.86,22.22
M,0.17,0.16,1.75,-28.50,-87.16,30.40
M,0.03,0.13,1.80,-12.57,-41.87,4.39
M,0.00,0.28,1.80,-11.84,-15.32,-3.23
M,0.04,0.37,1.77,-19.47,22.46,-15.38
M,0.05,0.39,1.83,-10.31,56.21,-42.48
M,0.06,0.26,1.69,-6.96,92.65,-57.62
