Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
N,-0.18,0.16,0.99,8.61,-1.34,-2.81
N,-0.19,0.12,0.88,4.88,1.10,-4.94
N,-0.22,0.09,0.91,3.91,-4.21,-3.05
N,-0.22,0.13,0.92,-1.89,-3.72,-2.62
N,-0.23,0.12,0.98,-0.67,-9.22,-5.07
N,-0.19,0.16,1.12,-8.24,-8.36,-10.86
N,-0.17,0.13,1.19,-10.99,4.64,-7.39
N,-0.19,0.21,1.21,-5.43,14.28,-1.89
N,-0.22,0.18,1.04,2.75,34.36,-15.44
N,-0.29,0.18,0.86,2.81,38.02,-11.66
N,-0.28,0.23,0.78,0.18,29.17,-17.70
N,-0.31,-0.02,0.87,6.41,8.67,-30.88
N,-0.30,0.04,0.88,-4.27,10.25,-9.16
N,-0.29,0.16,0.86,-3.78,4.15,-0.73
N,-0.28,0.04,0.95,1.71,5.98,-15.01
N,-0.28,0.07,0.95,-14.59,14.04,-15.14
N,-0.28,-0.16,0.80,16.17,-5.98,23.74
N,-0.31,0.06,0.84,11.17,21.12,14.10
N,-0.28,0.23,0.87,-6.84,-6.77,14.16
N,-0.31,0.14,0.88,-8.48,10.44,-12.94
N,-0.31,0.10,0.87,-7.26,4.03,-10.01
N,-0.33,0.15,0.98,-4.21,0.12,3.85
N,-0.31,0.29,0.95,7.08,8.06,-2.87
N,-0.33,0.15,0.92,16.78,10.62,-15.26
N,-0.34,0.10,0.82,14.71,11.17,-10.07
N,-0.37,0.05,0.86,12.63,2.32,-7.20
N,-0.38,0.02,0.94,12.27,3.42,1.16
N,-0.37,0.23,0.98,0.00,8.42,13.31
N,-0.42,0.31,0.99,-7.26,8.91,-1.04
N,-0.52,-0.10,1.18,17.33,-9.09,-23.01
N,-0.44,0.06,1.11,2.93,5.25,5.37
N,-0.43,0.05,1.06,5.37,6.53,-2.01
N,-0.50,0.27,0.98,-11.90,17.94,4.33
N,-0.46,0.25,0.93,-10.01,18.19,-17.88
N,-0.42,-0.13,0.90,2.32,27.28,-30.40
N,-0.36,0.15,1.13,-6.10,30.27,11.35
N,-0.25,0.28,1.09,15.14,56.52,3.66
N,-0.24,0.06,0.79,17.94,70.92,-14.04
N,-0.22,-0.04,0.52,22.22,63.60,-8.97
N,-0.23,-0.01,0.39,12.08,49.26,9.09
N,-0.13,0.15,0.11,0.61,20.20,21.42
N,-0.06,-0.04,0.15,8.73,-22.95,12.15
N,0.01,0.02,0.03,-5.37,-56.15,46.51
N,-0.05,-0.06,-0.03,3.48,-113.83,54.14
N,0.03,0.10,-0.02,-15.32,-153.38,73.61
N,0.16,0.01,0.18,-13.31,-226.14,66.59
N,0.12,-0.08,0.99,-16.91,-272.77,97.84
N,0.24,0.45,1.54,-18.01,-264.71,129.82
N,0.44,0.79,2.34,-34.12,-199.22,73.18
N,0.30,0.60,2.62,-15.50,-128.78,9.70
N,0.07,0.15,2.51,-2.62,-9.46,-40.47
N,-0.10,0.10,2.31,-4.39,67.20,-12.27
N,-0.08,0.45,1.94,3.78,125.73,-3.17
N,-0.18,0.18,1.32,24.35,175.72,-59.33
N,-0.16,0.18,1.21,23.86,163.27,-49.38
N,-0.14,0.11,1.05,21.30,174.93,-42.85
N,-0.18,0.10,0.70,10.38,166.38,-18.80
N,-0.16,0.13,0.71,19.53,131.35,-11.11
N,-0.11,0.24,0.64,13.67,108.95,-2.69
N,-0.08,0.23,0.56,10.38,82.95,-15.32
N,-0.08,0.09,0.35,3.54,75.68,-16.72
N,-0.10,0.09,0.08,-9.46,35.34,1.71
N,-0.11,0.24,0.19,-1.46,-26.00,7.51
N,-0.07,0.33,0.44,1.95,-46.33,-0.37
N,-0.04,0.05,0.20,1.71,-46.08,-2.75
N,-0.07,0.12,0.11,5.19,-72.63,19.47
N,-0.09,0.18,0.33,14.34,-126.89,26.37
N,-0.01,0.36,0.48,0.31,-148.01,33.14
N,0.09,0.27,0.56,-10.01,-163.21,14.83
N,0.08,0.18,0.95,-28.38,-189.21,20.69
N,0.22,0.10,1.09,-39.18,-175.96,16.42
N,0.14,0.11,1.20,-33.02,-169.31,13.31
N,0.07,0.23,1.64,-26.49,-155.27,-0.24
N,0.19,0.11,1.69,-43.15,-113.16,-18.86
N,0.18,0.03,1.74,-28.99,-69.03,-21.55
N,0.14,0.13,1.80,-13.92,-32.53,-23.86
N,0.15,0.07,1.79,-9.64,-9.52,-26.73
N,0.13,0.15,1.71,4.64,22.71,-21.48
N,0.11,0.13,1.56,8.48,66.04,-29.42
N,0.06,0.15,1.44,14.83,83.19,-25.15
N,0.06,0.13,1.34,24.78,92.65,-27.89
N,0.04,0.17,1.31,23.19,102.05,-22.71
N,0.09,0.18,1.14,13.43,117.37,-19.53
N,0.08,0.18,0.87,6.23,110.66,-17.58
N,0.10,0.26,0.74,0.06,103.33,-23.44
N,0.08,0.16,0.44,-18.92,78.80,-31.07
N,0.06,-0.06,0.23,-12.27,38.76,-24.90
N,0.07,-0.03,0.43,0.43,5.25,-14.04
N,0.05,0.03,0.40,4.52,0.98,-2.93
N,-0.01,0.12,0.45,1.95,-11.90,1.89
N,-0.04,0.08,0.58,7.51,-29.24,0.18
N,-0.05,0.06,0.68,16.17,-24.60,3.48
N,-0.13,0.09,0.80,15.32,-28.69,9.16
N,-0.07,0.32,0.94,0.12,-28.75,4.27
N,-0.01,0.27,1.11,5.68,-14.10,-27.10
N,0.03,0.14,1.08,10.99,9.58,-43.40
