Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
O,-0.28,0.28,0.93,4.15,-1.16,-2.75
O,-0.29,0.32,0.99,8.67,-2.32,-8.42
O,-0.30,0.31,1.03,20.39,7.08,-21.91
O,-0.31,0.23,1.02,23.62,12.82,-27.34
O,-0.32,0.21,1.03,8.73,17.15,-17.70
O,-0.37,0.32,1.02,0.31,20.81,-11.23
O,-0.38,0.43,1.05,4.70,28.63,-17.21
O,-0.36,0.32,0.98,6.77,41.26,-33.87
O,-0.38,0.21,0.97,-23.80,51.39,-34.12
O,-0.51,0.21,0.82,-34.73,69.27,-36.44
O,-0.50,0.19,0.65,-16.66,57.50,-42.42
O,-0.46,0.09,0.68,-24.23,42.24,-42.60
O,-0.35,0.11,0.85,-68.05,45.53,-35.03
O,-0.42,-0.16,0.52,23.13,-23.56,-5.31
O,-0.46,-0.01,1.17,98.94,-45.84,50.96
O,-0.36,0.17,0.44,-36.74,30.70,37.17
O,-0.35,0.31,0.65,-39.18,-39.18,14.40
O,-0.36,0.09,1.05,-10.31,-43.64,-3.66
O,-0.44,-0.17,0.49,-42.05,-3.85,11.05
O,-0.43,0.17,1.04,-17.27,-45.65,48.40
O,-0.41,0.23,0.82,27.83,-39.18,32.90
O,-0.40,0.29,0.87,34.85,-30.15,30.46
O,-0.35,0.28,0.75,34.61,-32.84,18.37
O,-0.40,0.36,0.99,15.26,-29.42,5.68
O,-0.40,0.08,0.85,-8.54,-20.87,-24.66
O,-0.43,-0.10,0.91,-11.66,-21.18,-13.98
O,-0.42,0.15,0.92,-12.33,-17.70,28.26
O,-0.38,0.39,1.08,-10.62,-17.64,19.71
O,-0.39,0.04,1.27,18.31,6.23,-16.85
O,-0.33,-0.04,0.71,14.83,9.03,15.26
O,-0.42,0.02,0.81,17.88,-26.00,32.10
O,-0.37,0.20,0.52,18.31,-37.41,31.37
O,-0.29,0.12,0.51,36.19,-70.56,40.83
O,-0.24,0.25,0.75,38.70,-79.96,44.80
O,-0.05,0.43,0.51,9.28,-72.94,33.26
O,-0.12,-0.04,0.78,37.78,-102.72,15.50
O,-0.09,-0.16,0.75,31.19,-100.77,39.25
O,0.01,-0.27,1.02,26.67,-105.96,88.99
O,0.03,-0.08,1.04,23.13,-106.75,128.11
O,0.19,0.13,1.57,53.10,-100.77,157.84
O,0.27,0.98,2.11,18.92,-43.09,163.51
O,0.15,0.61,1.99,9.22,45.96,96.19
O,0.17,0.39,1.33,9.40,135.44,91.49
O,0.12,0.75,1.09,47.91,139.28,91.31
O,0.09,0.99,1.15,70.07,130.68,55.18
O,0.09,0.88,0.87,67.20,158.57,-8.36
O,0.04,0.69,0.69,59.51,143.07,-41.38
O,-0.06,0.69,0.87,51.15,103.27,-34.36
O,-0.08,1.02,0.69,43.27,127.87,-61.52
O,0.01,0.98,0.66,72.51,133.79,-120.91
O,-0.00,0.39,0.21,51.09,103.94,-142.76
O,-0.21,0.75,0.40,11.11,24.90,-89.42
