Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
P,-0.09,0.22,0.96,0.49,-4.70,-1.16
P,-0.10,0.23,0.93,2.56,-2.87,-2.87
P,-0.10,0.19,0.92,0.12,-3.48,-4.94
P,-0.10,0.21,0.94,0.37,-6.53,-2.93
P,-0.09,0.22,0.96,1.46,-6.96,-4.58
P,-0.08,0.20,0.96,0.55,-8.61,-8.61
P,-0.07,0.19,0.94,-0.61,-9.03,-8.18
P,-0.08,0.57,0.86,3.97,-11.96,-12.21
P,-0.04,0.22,1.08,24.54,-52.86,-77.58
P,-0.05,0.04,1.18,29.17,-29.66,-67.99
P,-0.05,0.25,0.87,11.96,-9.52,-29.30
P,-0.13,0.28,1.25,-16.36,-21.18,-36.07
P,-0.05,0.40,0.95,11.47,-12.70,-59.39
P,-0.08,-0.06,0.94,27.83,-17.52,-50.35
P,-0.05,0.12,0.88,19.90,-5.43,-13.49
P,-0.09,0.05,0.93,-33.08,7.75,24.05
P,-0.13,-0.09,1.27,-92.10,34.91,43.58
P,-0.28,0.07,1.45,-143.49,100.52,94.85
P,-0.08,0.30,0.86,-126.34,94.42,84.05
P,-0.23,0.10,1.03,-80.99,78.61,32.29
P,-0.34,0.03,1.03,-57.98,53.53,37.17
P,-0.32,-0.01,1.02,-18.55,-20.87,41.32
P,-0.35,-0.01,1.10,-1.46,-41.44,28.69
P,-0.33,0.10,1.23,-21.67,-13.12,37.17
P,-0.31,-0.05,0.98,-46.81,0.49,19.53
P,-0.29,0.04,1.16,-24.23,-32.10,3.05
P,-0.39,-0.14,1.24,11.66,-43.09,-28.75
P,-0.37,-0.28,1.23,16.30,12.63,-1.34
P,-0.29,-0.12,1.19,19.90,27.71,15.08
P,-0.26,-0.13,1.22,14.65,30.64,30.76
P,-0.24,0.09,1.15,15.38,38.57,37.23
P,-0.22,0.08,1.15,24.23,45.59,21.91
P,-0.28,0.06,0.89,26.43,78.25,8.97
P,-0.33,0.10,0.74,27.16,81.54,2.62
P,-0.20,-0.03,0.30,28.99,84.05,-19.41
P,-0.21,0.06,0.49,7.57,33.14,1.89
P,-0.16,0.06,0.44,10.19,26.06,0.98
P,-0.07,0.12,0.46,3.91,3.91,5.00
P,-0.08,0.20,0.53,2.20,-14.16,3.05
P,-0.06,0.06,0.40,8.18,-8.18,-15.93
P,-0.09,-0.09,0.10,18.37,-39.92,-9.03
P,-0.14,0.12,0.15,10.50,-72.88,1.34
P,-0.10,-0.07,0.17,12.63,-101.14,-8.91
P,0.04,-0.01,0.07,-5.68,-145.14,6.16
P,0.18,-0.05,0.31,-3.66,-200.87,14.28
P,0.25,-0.09,0.71,21.73,-258.30,39.55
P,0.37,0.03,1.50,8.79,-275.76,57.19
P,0.47,0.37,2.05,-17.03,-197.75,67.63
P,0.44,0.26,2.23,2.62,-106.75,14.28
P,0.40,0.34,2.17,-1.59,-53.96,4.15
P,0.24,0.09,2.19,11.23,23.19,-16.54
P,0.17,0.22,1.60,14.04,113.40,-18.68
P,0.07,0.22,1.01,-6.71,125.12,-19.23
P,-0.00,0.22,1.46,13.31,58.35,-13.67
P,-0.06,0.14,1.43,13.98,97.72,-17.70
P,-0.05,0.16,1.09,16.85,144.41,-25.27
P,-0.09,0.10,0.62,-5.37,121.28,-18.43
P,-0.08,-0.05,0.87,15.62,73.06,-21.55
P,-0.08,-0.08,0.71,16.66,75.62,3.17
P,-0.02,-0.01,0.55,17.09,59.27,6.29
P,-0.02,-0.07,0.57,11.47,38.64,8.00
P,-0.05,0.20,0.57,5.86,21.73,22.89
P,-0.05,0.23,0.75,11.84,1.65,13.92
P,-0.09,0.09,0.77,15.62,5.68,8.06
P,-0.15,0.20,0.69,11.17,-0.67,16.24
P,-0.18,0.25,0.75,15.38,-12.02,18.62
P,-0.20,0.31,0.84,12.57,-21.55,6.10
P,-0.22,0.10,1.00,2.87,-21.42,1.10
P,-0.24,0.09,1.01,5.55,-15.50,6.47
P,-0.25,0.14,1.13,12.21,-9.64,13.00
P,-0.25,0.16,1.15,15.14,1.59,10.25
P,-0.19,0.40,1.16,37.17,16.72,18.31
P,-0.16,0.89,1.09,27.16,35.46,4.52
P,-0.12,0.88,0.89,10.01,40.10,-27.34
P,-0.13,0.71,0.76,-1.71,30.33,-69.03
P,-0.14,0.42,0.51,-12.51,25.51,-89.48
P,-0.14,0.41,0.48,-20.02,11.05,-92.10
P,-0.10,0.41,0.43,-30.58,-2.87,-117.19
P,-0.08,0.12,0.34,-27.53,-15.14,-137.88
P,-0.06,-0.19,0.46,-31.74,-45.41,-130.86
P,-0.06,-0.44,0.59,-20.87,-74.89,-114.99
P,-0.04,-0.69,0.66,-10.44,-78.67,-112.98
P,-0.04,-1.04,0.79,10.13,-101.81,-77.82
P,0.06,-1.40,0.87,9.28,-115.72,3.48
P,0.14,-1.31,1.17,8.61,-135.80,81.48
P,0.32,-0.72,1.29,-2.20,-130.13,189.64
P,0.48,0.11,1.75,1.34,-116.58,241.94
P,0.47,1.34,1.74,6.84,-66.71,234.31
P,0.24,1.22,1.40,17.03,-18.86,61.83
P,0.16,0.64,1.16,28.63,2.69,-3.54
P,0.02,0.36,0.88,2.56,-5.37,3.85
P,0.03,0.33,0.86,-17.03,-12.45,3.54
P,0.10,0.31,0.97,-2.08,-13.92,-15.14
P,0.15,0.10,0.97,8.36,-0.43,-38.15
P,0.18,0.00,0.96,9.16,3.17,-39.06
P,0.22,0.05,1.19,19.47,6.16,-31.92
P,0.22,0.02,1.63,36.07,33.51,-61.28
P,0.10,-0.25,1.76,34.91,71.17,-71.29
P,-0.08,-0.38,1.53,24.90,131.65,-40.22
P,-0.24,0.07,1.41,27.10,145.75,13.12
P,-0.29,0.39,1.18,31.49,162.84,6.23
P,-0.24,0.22,0.64,36.93,156.68,-30.88
P,-0.37,0.10,0.64,5.92,83.80,-10.31
P,-0.36,0.17,0.62,-3.05,73.61,0.92
P,-0.28,0.28,0.53,-4.03,69.89,-1.34
P,-0.21,0.26,0.48,6.53,69.15,-23.74
P,-0.17,0.03,0.35,12.15,51.51,-35.64
P,-0.13,0.04,0.34,3.11,8.00,-11.11
P,-0.09,0.15,0.29,8.54,-8.24,-1.10
P,-0.09,0.11,0.09,11.23,-39.98,-16.42
P,-0.08,-0.07,0.12,18.74,-75.26,-21.55
P,-0.02,-0.17,-0.06,5.31,-120.67,11.35
P,0.08,-0.04,0.15,4.39,-196.72,39.31
P,0.16,-0.08,0.40,6.35,-230.47,45.23
P,0.36,-0.03,0.91,-28.75,-270.69,72.94
P,0.35,0.30,1.64,-23.80,-267.27,84.53
P,0.45,0.44,1.79,-8.36,-208.31,58.59
