Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
Q,-0.39,0.22,0.86,0.06,-7.51,-1.71
Q,-0.38,0.22,0.85,1.16,0.55,-1.10
Q,-0.38,0.23,0.88,2.69,-6.77,-2.69
Q,-0.38,0.20,0.87,-5.92,-5.74,-5.43
Q,-0.38,0.19,0.87,0.61,-3.78,-9.16
Q,-0.39,0.17,0.86,2.87,-4.82,-5.68
Q,-0.38,0.24,0.88,-13.79,-4.21,-2.69
Q,-0.38,0.17,0.86,-12.82,-6.35,-5.92
Q,-0.39,0.21,0.91,-14.89,-5.00,-1.40
Q,-0.43,0.17,0.86,-10.86,-1.53,-1.65
Q,-0.43,0.22,0.88,-10.62,-4.09,1.04
Q,-0.43,0.22,0.90,2.69,-8.91,-4.03
Q,-0.38,0.17,0.98,9.46,3.23,-7.57
Q,-0.42,0.18,0.91,1.22,9.28,-1.04
Q,-0.47,0.22,0.90,-0.79,8.30,-3.42
Q,-0.46,0.16,0.93,1.77,2.99,-8.85
Q,-0.47,0.19,1.05,1.40,-2.01,-5.37
Q,-0.48,0.10,1.02,2.56,8.42,-10.56
Q,-0.48,0.14,1.00,1.40,15.75,-1.71
Q,-0.48,0.15,0.82,2.81,19.90,-7.81
Q,-0.44,0.05,0.83,1.22,2.62,-10.31
Q,-0.42,0.16,0.84,-6.77,-13.98,11.66
Q,-0.45,0.29,0.93,-3.85,-22.64,10.31
Q,-0.34,0.19,0.77,6.71,-15.99,-0.12
Q,-0.26,0.13,0.63,7.75,-47.97,13.61
Q,-0.29,0.16,0.88,-0.73,-64.94,12.27
Q,-0.15,0.13,0.64,-17.82,-37.35,4.88
Q,-0.22,-0.09,0.46,-5.49,-81.42,21.61
Q,-0.22,0.05,0.96,31.49,-105.04,37.84
Q,-0.16,0.10,0.69,9.89,-63.72,45.90
Q,-0.12,-0.02,0.85,9.28,-99.06,53.96
Q,-0.08,-0.10,1.13,11.90,-101.07,65.80
Q,-0.10,-0.05,1.02,-2.38,-86.85,92.90
Q,-0.09,-0.04,1.39,4.64,-88.26,108.15
Q,-0.07,-0.08,1.23,25.02,-58.47,106.87
Q,0.06,0.03,1.49,53.34,-38.21,118.04
Q,0.09,0.19,1.47,55.54,-5.25,120.30
Q,0.21,0.51,1.63,71.59,46.45,117.61
Q,0.15,1.07,1.14,60.97,119.57,69.89
Q,0.19,1.32,1.13,74.52,130.86,-8.85
Q,0.27,0.79,0.76,50.72,162.17,-90.27
Q,0.09,0.84,0.77,18.19,101.14,-65.86
Q,-0.03,0.96,0.58,-3.48,111.76,-88.87
Q,0.13,0.90,0.44,5.25,119.81,-175.17
Q,0.00,0.06,0.12,1.83,75.50,-180.42
Q,-0.10,0.27,0.26,-0.37,25.15,-123.17
Q,-0.18,0.54,0.23,-11.90,-5.19,-124.02
Q,-0.12,0.35,0.33,-0.18,-17.15,-155.46
Q,-0.14,-0.29,0.26,14.47,-30.94,-159.18
Q,-0.22,-0.04,0.41,-9.40,-71.66,-91.06
Q,-0.22,-0.04,0.52,-9.64,-82.70,-92.16
Q,-0.24,-0.30,0.63,-13.55,-96.50,-79.71
Q,-0.10,-0.42,0.79,-20.26,-115.11,-69.09
Q,-0.29,-0.55,0.77,-22.95,-106.26,-51.21
Q,-0.12,-0.52,0.83,-24.54,-144.41,-15.62
Q,0.08,-0.71,1.05,-27.22,-181.58,10.86
Q,0.08,-0.99,1.51,-14.16,-189.27,64.88
Q,0.13,-0.74,1.55,-4.64,-143.01,138.49
Q,0.23,-0.69,1.65,24.78,-117.98,159.85
Q,0.42,0.24,2.07,48.95,-74.95,228.70
Q,0.36,1.31,1.96,22.58,35.28,195.86
Q,0.17,1.36,1.07,18.13,82.58,93.57
Q,-0.01,0.58,1.10,56.64,68.05,-29.30
Q,0.01,0.03,0.47,10.50,78.86,-35.83
Q,-0.04,-0.03,0.35,-2.14,28.93,-1.65
Q,-0.01,0.24,0.74,1.83,-2.32,16.05
Q,0.00,0.16,0.67,1.95,6.84,-2.44
Q,-0.02,-0.02,0.83,6.65,2.32,-6.41
Q,0.00,0.09,0.82,13.92,-8.12,3.85
Q,0.01,0.13,1.06,13.98,-19.65,6.77
Q,0.07,0.17,1.16,12.21,0.67,-3.48
Q,0.06,0.08,1.11,6.65,11.47,-7.32
Q,0.02,0.11,0.93,1.95,0.49,-1.71
Q,-0.02,0.06,1.00,1.59,0.61,-0.06
Q,-0.01,0.05,0.95,5.37,7.20,0.67
Q,0.03,0.13,0.91,17.15,11.84,6.59
Q,0.05,0.17,0.80,24.48,12.39,6.77
Q,0.09,0.48,0.44,24.90,-11.11,8.67
Q,0.19,0.66,0.18,17.09,-52.43,-27.22
Q,0.14,0.46,-0.01,14.95,-98.69,-50.84
Q,0.09,0.29,-0.02,22.89,-153.56,-55.54
Q,0.10,-0.07,1.09,6.59,-208.74,-43.58
Q,0.26,-0.02,1.17,-31.01,-156.62,-25.02
Q,0.65,-0.25,1.98,-24.48,-116.15,-49.38
Q,0.73,-0.29,1.95,-31.07,1.28,-33.14
Q,0.52,-0.20,1.43,-30.46,27.59,-22.89
Q,0.37,-0.22,1.65,-10.19,26.67,-6.90
Q,0.32,-0.07,1.32,-17.82,60.85,6.10
Q,0.24,0.03,1.01,-12.57,88.50,15.99
Q,0.19,0.12,1.00,7.51,81.18,7.93
Q,0.15,0.07,1.11,27.28,82.21,-1.83
Q,0.15,0.08,1.12,49.50,95.15,3.78
Q,0.07,0.05,0.92,48.95,100.77,17.70
Q,-0.04,-0.08,0.95,53.53,88.93,38.94
Q,-0.03,0.49,0.85,43.21,72.39,84.11
Q,-0.10,0.49,0.63,37.05,56.15,44.56
Q,-0.08,0.38,0.57,36.74,10.07,19.96
Q,-0.02,0.55,0.66,34.36,-26.49,4.15
Q,-0.04,0.48,0.72,30.58,-20.57,-11.60
Q,-0.03,0.47,0.49,24.60,-32.04,-38.09
Q,0.02,0.31,0.74,26.86,-48.71,-36.74
Q,0.02,0.23,0.96,26.92,-55.79,-34.30
Q,0.03,0.11,0.85,-8.91,-37.35,-14.83
Q,0.05,0.06,1.06,-5.98,-44.37,-5.55
Q,0.03,-0.05,1.23,15.69,-44.56,7.32
Q,0.04,-0.21,1.24,17.09,-21.06,35.34
Q,0.04,-0.12,1.25,21.67,-13.55,65.92
Q,0.16,0.00,1.53,36.87,4.94,101.38
Q,0.15,0.29,1.43,26.12,59.39,128.23
Q,0.14,0.45,1.19,20.08,88.62,132.02
Q,0.16,1.08,0.98,32.17,87.04,114.50
Q,0.15,1.35,1.14,47.97,90.33,59.33
Q,0.13,1.21,0.90,47.00,135.86,-51.45
Q,0.14,0.79,0.62,33.26,135.80,-99.49
Q,0.07,0.79,0.33,-7.08,112.73,-85.39
Q,-0.02,0.74,0.63,-19.84,39.37,-96.13
Q,0.00,0.74,0.53,-29.85,55.36,-127.69
Q,0.02,0.35,0.51,-7.45,56.03,-169.49
Q,-0.10,0.19,0.27,-16.60,29.85,-130.25
Q,-0.18,0.25,0.33,-19.65,-8.18,-108.58
Q,-0.22,0.28,0.46,-24.23,-27.83,-115.17
Q,-0.23,-0.10,0.65,-19.59,-36.80,-123.84
Q,-0.19,-0.16,0.60,-21.18,-31.01,-109.68
Q,-0.19,-0.19,0.70,-15.01,-55.85,-80.38
Q,-0.20,-0.12,0.73,-8.18,-64.58,-61.65
Q,-0.21,-0.21,0.74,-16.85,-76.60,-56.40
Q,-0.13,-0.38,0.83,-15.56,-84.72,-43.27
Q,-0.16,-0.21,0.88,-8.42,-89.05,-18.43
Q,-0.13,-0.16,0.99,-9.89,-87.52,-21.24
Q,-0.11,-0.31,0.97,0.49,-86.61,-17.27
Q,-0.13,-0.24,0.96,-4.03,-85.45,1.65
Q,-0.08,-0.08,1.10,-4.21,-97.29,14.47
Q,-0.02,-0.22,1.22,8.48,-88.56,5.31
Q,0.03,-0.17,1.25,9.89,-72.81,14.22
Q,0.05,-0.22,1.23,3.42,-68.85,21.00
Q,0.07,-0.30,1.29,3.11,-63.11,32.90
Q,0.12,-0.27,1.33,8.36,-48.95,53.71
Q,0.15,-0.26,1.19,19.65,-26.79,64.27
Q,0.17,-0.33,1.08,30.03,-23.13,77.27
Q,0.24,-0.35,1.09,44.92,-21.18,105.96
Q,0.36,0.61,1.32,49.38,-29.97,140.14
Q,0.31,0.76,1.07,23.25,-5.43,101.44
Q,0.19,0.62,0.87,37.48,6.47,52.00
Q,0.14,0.57,0.74,36.50,4.39,36.25
Q,0.11,0.57,0.72,12.76,-4.09,27.47
Q,0.15,0.48,0.75,3.36,-12.33,-1.28
Q,0.20,0.32,0.81,-0.92,-10.13,-20.75
Q,0.18,0.17,0.88,-4.82,-13.31,-18.55
Q,0.18,0.14,0.96,-8.36,-12.63,-11.05
Q,0.21,0.15,1.15,-3.54,-10.86,-14.47
Q,0.30,0.15,1.31,11.84,0.24,-20.45
Q,0.26,0.20,1.34,22.28,22.64,-20.75
Q,0.17,0.15,1.42,18.98,37.60,-38.70
Q,0.10,0.06,1.47,12.88,75.99,-33.94
Q,0.03,0.01,1.29,14.34,104.13,-30.70
Q,-0.12,0.17,0.97,10.68,108.03,-14.59
Q,-0.16,0.04,1.17,18.19,100.28,-16.42
Q,-0.18,-0.01,0.78,6.29,113.16,-11.60
Q,-0.20,-0.07,0.50,3.85,55.42,18.80
Q,-0.11,0.03,0.78,24.66,14.40,29.60
Q,-0.07,0.40,0.67,11.78,14.04,34.97
Q,-0.06,0.31,0.67,3.36,6.77,-4.15
Q,-0.11,0.17,0.58,13.24,0.67,-12.39
Q,-0.10,0.18,0.75,24.23,-25.94,0.37
Q,-0.07,0.31,0.64,1.34,-15.08,-0.12
Q,-0.07,0.25,0.61,0.79,-23.50,-8.73
Q,-0.05,0.28,0.73,10.38,-41.63,-6.65
Q,-0.06,0.32,0.63,-3.42,-39.61,-7.39
