Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
R,-0.29,0.19,0.78,0.37,48.58,-12.39
R,-0.26,0.17,0.25,-21.12,41.63,-8.54
R,-0.28,0.16,0.47,-1.46,-7.26,-9.34
R,-0.29,0.02,0.36,-7.02,-5.13,-9.03
R,-0.27,0.09,0.33,-15.01,-27.40,1.04
R,-0.24,-0.03,0.41,4.15,-52.67,0.79
R,-0.19,0.04,0.35,-2.44,-61.22,24.96
R,-0.17,0.10,0.28,-4.88,-77.70,30.52
R,-0.09,0.14,0.28,-1.10,-108.46,33.69
R,-0.02,0.28,0.64,6.77,-148.50,38.51
R,0.08,0.33,0.70,-7.51,-145.02,36.50
R,0.09,0.33,0.93,-5.86,-177.06,20.26
R,0.11,0.30,1.24,-4.03,-185.18,18.37
R,0.19,0.36,1.55,-6.84,-156.43,17.58
R,0.13,0.31,1.59,-7.69,-108.83,7.39
R,0.12,0.29,1.75,-9.64,-102.78,4.03
R,0.13,0.29,1.87,-7.57,-51.33,5.19
R,0.11,0.26,1.61,-5.00,-4.70,2.56
R,0.08,0.27,1.42,-3.85,8.48,7.63
R,0.08,0.35,1.38,4.46,19.23,0.98
R,0.12,0.31,1.22,9.03,39.43,-6.59
R,0.12,0.29,1.15,11.35,37.90,-7.32
R,0.10,0.17,1.08,16.97,51.94,-22.58
R,0.09,0.01,0.98,20.26,61.28,-21.36
R,0.01,0.01,1.20,22.03,47.91,4.15
R,0.04,0.12,1.12,18.92,68.12,23.19
R,0.01,0.22,1.13,27.34,69.21,28.02
R,-0.03,0.27,1.16,28.69,74.46,21.61
R,-0.03,0.20,1.06,30.27,87.10,15.99
R,-0.07,0.28,0.90,37.41,97.96,24.17
R,-0.10,0.28,0.78,50.17,98.02,16.72
R,-0.08,0.35,0.80,50.84,85.14,21.67
R,-0.07,0.64,0.72,41.08,92.35,26.55
R,-0.05,1.03,0.46,21.97,80.75,6.84
R,-0.03,0.94,0.54,34.24,57.01,-42.60
R,-0.05,0.70,0.49,14.71,69.27,-79.35
R,-0.01,0.66,0.15,-3.54,78.31,-88.50
R,-0.04,0.39,0.09,1.89,-3.17,-114.75
R,-0.15,0.26,0.21,-11.90,-36.56,-105.41
R,-0.15,0.22,0.31,-19.29,-50.84,-106.63
R,-0.18,-0.05,0.45,-14.16,-70.31,-106.81
R,-0.21,-0.18,0.53,-8.91,-82.34,-90.03
R,-0.19,-0.22,0.53,-8.85,-90.94,-75.07
R,-0.23,-0.31,0.89,-13.12,-125.31,-61.77
R,-0.20,-0.52,1.13,-9.22,-119.93,-60.06
R,-0.12,-0.85,1.31,4.39,-108.58,-23.01
R,-0.22,-0.69,1.77,15.87,-108.58,49.56
R,-0.23,-0.32,1.70,8.24,-60.91,84.53
R,-0.15,-0.32,1.52,10.44,-27.34,92.53
R,-0.05,-0.16,1.47,13.31,-4.64,134.09
R,-0.02,0.05,1.32,16.30,16.36,155.46
R,0.07,0.67,0.91,27.89,27.22,190.43
R,0.06,1.15,1.00,25.51,16.11,141.91
R,0.02,0.93,0.88,34.30,29.36,74.16
R,-0.00,0.83,0.77,29.60,28.93,57.43
R,-0.00,1.03,0.76,20.57,27.95,46.88
R,0.00,0.77,0.47,14.34,18.80,-3.05
R,0.04,0.62,0.40,6.90,-1.28,-14.34
R,0.09,0.83,0.29,-12.33,-16.17,-11.54
R,0.12,0.79,0.17,-28.93,-48.03,-52.80
R,0.29,0.77,-0.20,-35.52,-89.90,-68.91
R,0.34,0.78,0.21,-41.02,-160.95,-78.55
R,0.42,0.62,0.56,-72.27,-166.38,-118.23
R,0.53,0.12,0.63,-73.00,-168.09,-153.93
R,0.53,-0.58,1.27,-43.40,-190.06,-151.67
R,0.51,-0.71,1.67,-25.63,-146.97,-88.26
R,0.63,-0.60,1.95,-24.54,-121.58,-57.25
R,0.63,-0.63,2.04,-20.32,-48.16,-44.74
R,0.46,-0.61,1.56,-17.76,37.05,-17.88
R,0.37,-0.49,1.23,-19.35,67.75,5.37
R,0.36,-0.18,1.27,-22.34,87.10,38.45
R,0.29,-0.05,1.22,-13.43,119.87,43.52
R,0.07,-0.22,1.19,53.59,146.24,14.77
R,-0.02,0.18,0.98,68.36,99.12,83.44
R,0.24,0.69,1.06,36.56,63.17,75.87
R,-0.18,0.29,1.45,68.30,23.07,-28.08
R,-0.50,0.19,1.36,0.24,104.31,14.22
R,-0.18,0.55,1.15,26.37,116.27,33.69
R,-0.21,0.46,0.53,-7.93,121.40,-10.62
R,-0.13,0.28,1.23,-7.51,36.44,28.02
R,-0.14,0.44,1.09,-36.38,95.34,49.07
R,-0.09,0.35,0.78,12.70,58.29,29.48
R,-0.11,0.26,1.10,22.22,34.79,17.33
R,-0.09,0.36,0.72,-8.61,58.84,26.79
R,-0.07,0.55,0.92,-9.03,31.74,1.28
R,-0.09,0.37,0.79,-1.53,59.45,-22.22
R,-0.09,0.09,0.68,1.10,70.80,-34.48
R,-0.05,0.01,0.53,-0.85,83.19,-19.71
R,0.00,0.18,0.43,0.06,44.56,7.26
R,-0.01,0.21,0.32,18.25,20.87,-3.23
R,-0.00,0.22,0.21,15.93,7.02,-14.89
R,-0.06,-0.03,-0.09,16.30,-19.90,-18.86
R,-0.02,-0.01,-0.16,-4.03,-76.97,8.85
R,0.03,-0.10,-0.12,5.13,-107.60,9.09
R,0.20,0.08,-0.12,-4.27,-170.84,43.95
R,0.38,0.30,0.23,-11.96,-237.30,49.32
R,0.46,0.20,0.97,6.59,-281.74,19.96
R,0.61,0.19,1.42,0.55,-257.08,51.39
R,0.68,0.46,1.65,-48.10,-242.19,70.50
R,0.60,0.31,2.02,-7.93,-205.75,6.23
R,0.51,0.30,2.34,-25.88,-124.76,14.95
R,0.43,0.31,2.16,-27.16,-43.21,10.50
R,0.30,0.04,1.80,-2.50,22.71,-15.50
R,0.29,-0.04,1.86,21.79,26.25,-2.20
R,0.31,0.52,1.99,21.55,99.06,19.59
R,0.31,0.23,1.67,61.52,195.80,-35.10
R,0.17,0.04,1.14,48.52,235.72,-28.87
R,0.15,0.22,0.75,64.88,192.87,-1.40
R,0.11,-0.04,0.86,97.84,105.35,-11.41
R,0.00,-0.16,0.69,84.17,114.20,2.50
R,-0.01,-0.01,0.50,48.22,94.30,54.02
R,-0.05,0.28,0.57,18.74,65.61,59.27
R,0.03,0.53,0.52,7.69,72.57,57.37
R,0.18,1.37,0.80,-47.97,50.72,77.94
R,0.28,1.73,0.88,-40.59,57.01,22.46
R,0.23,0.86,0.49,19.47,62.50,-127.32
R,0.14,0.61,0.52,12.33,13.24,-112.06
R,0.12,0.68,0.54,-1.71,14.28,-118.41
R,0.14,0.35,0.19,-12.63,38.45,-164.00
R,0.02,-0.06,0.13,-5.86,-28.50,-173.10
R,-0.04,-0.13,0.35,-11.11,-75.68,-152.10
R,-0.07,-0.25,0.51,-26.86,-93.75,-109.99
R,-0.05,-0.33,0.69,-17.52,-110.23,-102.29
R,-0.13,-0.73,0.97,7.20,-108.15,-96.37
R,-0.12,-0.78,0.90,-2.99,-87.04,-25.02
R,-0.08,-0.67,1.08,-2.20,-109.19,12.70
R,-0.10,-0.67,1.62,18.74,-113.59,51.57
R,-0.03,-0.07,1.76,-1.46,-54.57,123.66
R,0.02,-0.07,1.65,18.43,-21.91,108.40
R,-0.03,-0.36,1.46,30.70,12.76,119.32
R,0.04,0.07,1.13,6.04,35.52,175.84
R,0.12,0.90,1.05,8.54,2.38,183.59
R,0.04,0.95,1.18,28.75,15.69,90.45
R,0.01,0.69,0.93,24.96,38.51,54.57
R,0.04,0.61,0.76,17.58,27.28,44.13
R,0.02,0.60,0.73,8.97,13.31,28.14
R,0.05,0.65,0.71,8.06,8.36,21.24
R,0.12,0.72,0.76,14.04,4.21,-3.23
R,0.11,0.56,0.55,8.30,8.36,-23.01
R,0.08,0.63,0.40,-8.42,-15.26,-20.26
R,0.11,0.75,0.20,-30.70,-57.62,-27.83
R,0.19,0.74,0.11,-39.73,-92.29,-54.99
R,0.32,0.61,0.29,-44.68,-161.13,-105.04
R,0.34,-0.09,0.90,-27.04,-203.80,-135.86
R,0.33,-0.32,0.90,-30.52,-164.73,-108.70
R,0.49,-0.37,1.44,-23.25,-169.31,-70.13
R,0.56,-0.25,1.59,-54.44,-94.30,-50.96
R,0.56,-0.29,1.44,-37.23,-66.83,-50.29
R,0.57,-0.36,1.52,-16.11,-39.55,-38.94
R,0.54,-0.30,1.40,-28.87,-15.08,-13.00
R,0.48,-0.12,1.11,-28.50,13.61,7.26
R,0.43,-0.15,1.00,-4.52,-6.84,9.22
R,0.44,0.01,1.10,-4.76,4.03,22.52
R,0.46,0.04,0.99,1.16,26.37,13.00
R,0.50,0.10,1.08,0.24,32.90,13.18
R,0.52,0.04,0.99,-5.86,52.31,5.19
R,0.51,-0.12,1.38,9.03,46.63,4.27
R,0.48,-0.14,1.62,0.79,80.02,7.93
R,0.40,-0.22,1.39,18.92,150.33,-1.53
R,0.16,-0.24,1.38,54.38,169.13,11.72
R,0.11,-0.05,1.24,40.77,193.48,43.27
R,-0.09,0.21,0.86,32.78,191.47,49.56
R,-0.22,0.33,1.01,57.43,126.71,44.56
R,-0.22,0.51,0.95,42.91,135.86,53.96
R,-0.29,0.49,0.69,36.56,126.28,31.68
R,-0.31,0.54,0.76,32.96,103.15,21.79
R,-0.34,0.55,0.59,19.04,118.96,-5.98
R,-0.39,0.33,0.42,17.33,98.57,-30.88
R,-0.39,0.24,0.39,24.41,80.93,-30.70
R,-0.38,0.28,0.38,27.10,59.02,-23.07
R,-0.31,0.21,0.35,29.85,41.69,-30.46
R,-0.24,0.19,0.20,13.67,38.76,-22.28
R,-0.20,0.19,-0.02,1.04,5.13,-6.16
R,-0.12,0.21,0.03,-0.67,-49.26,2.69
R,-0.04,0.21,0.26,5.00,-107.85,3.23
R,0.00,0.22,0.16,-15.62,-121.09,16.72
R,0.01,0.23,0.29,-4.52,-154.97,13.31
R,0.12,0.08,0.43,-4.46,-180.05,11.72
R,0.18,0.04,0.62,-19.90,-214.66,28.50
R,0.38,0.07,0.65,-17.40,-226.01,45.23
R,0.55,0.05,1.20,-30.03,-288.94,64.70
R,0.58,0.09,1.62,-38.88,-287.35,77.82
R,0.54,0.18,1.67,-54.87,-205.02,74.28
R,0.59,0.48,2.03,-42.91,-148.68,57.74
R,0.58,0.37,1.82,-33.08,-74.77,16.54
R,0.51,-0.10,1.90,-1.16,-28.50,-20.87
R,0.47,0.04,1.82,1.53,47.06,18.13
R,0.42,0.24,1.67,14.59,80.81,17.15
R,0.38,0.35,1.85,63.11,117.37,-20.57
R,0.37,0.22,1.76,97.17,166.75,-47.85
R,0.29,0.09,1.15,104.49,248.17,-49.13
R,0.08,0.07,0.62,89.05,232.24,-28.50
R,0.16,0.08,0.52,86.12,179.50,-9.34
R,-0.05,0.05,0.38,45.90,103.33,19.35
R,-0.08,0.19,0.40,38.45,38.88,38.21
