Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
S,-0.21,0.17,0.95,1.22,-7.63,2.14
S,-0.22,0.15,0.95,4.52,-5.19,-1.65
S,-0.22,0.16,1.00,6.23,3.30,-0.67
S,-0.21,0.17,0.95,10.44,5.98,1.04
S,-0.21,0.18,0.95,11.23,5.37,-4.58
S,-0.22,0.18,0.94,13.00,5.43,-8.06
S,-0.22,0.18,0.89,10.99,5.68,-8.54
S,-0.24,0.17,0.94,18.86,3.11,7.69
S,-0.22,0.18,0.88,29.48,10.38,13.67
S,-0.17,0.11,0.86,39.31,-12.02,0.85
S,-0.14,0.24,1.09,-3.23,-15.32,21.73
S,-0.26,0.25,1.05,-2.81,10.07,6.23
S,-0.18,0.28,0.86,-36.01,28.02,7.81
S,-0.21,0.34,1.16,9.70,-19.47,-18.55
S,-0.26,0.12,0.91,-1.65,3.91,-26.55
S,-0.36,0.06,1.08,-27.47,2.20,-7.02
S,-0.32,0.27,1.04,-27.53,12.63,7.14
S,-0.29,0.22,0.99,22.03,-13.31,-20.39
S,-1.24,0.21,1.19,11.96,0.00,-14.71
S,-0.13,0.03,0.79,-29.60,41.56,-20.14
S,-0.29,0.30,1.22,-3.42,20.14,-5.86
S,-0.22,0.13,0.99,-5.00,56.21,-17.15
S,-0.32,0.21,0.96,3.91,27.53,-1.65
S,-0.28,0.31,0.80,-30.27,36.62,-12.88
S,-0.32,0.11,0.71,14.77,11.84,-28.02
S,-0.23,0.65,0.60,11.90,-45.04,-11.47
S,-0.13,0.14,1.19,40.83,-122.38,-87.34
S,-0.19,-0.26,1.27,16.30,-60.00,-75.99
S,-0.13,0.47,0.52,-20.69,15.50,-37.29
S,-0.17,0.65,0.56,-24.60,-20.69,-70.74
S,-0.08,0.01,0.69,0.43,-33.45,-148.56
S,-0.31,-0.48,0.54,17.40,-13.73,-90.94
S,-0.23,0.17,0.41,-3.72,-14.59,-34.79
S,-0.27,0.12,0.76,24.48,-69.70,-77.33
S,-0.26,-0.10,0.97,16.05,-49.80,-67.02
S,-0.20,0.03,1.09,12.45,-18.25,-70.01
S,-0.35,-0.00,1.01,-68.91,-4.70,-86.98
S,-0.62,0.23,1.07,-43.40,-52.31,-87.71
S,-0.34,-0.37,1.85,19.35,-58.96,-75.93
S,-0.19,-0.15,1.30,-31.74,28.14,-35.77
S,-0.20,-0.32,1.17,-21.00,28.99,-37.96
S,-0.27,-0.41,1.12,12.88,15.26,-3.54
S,-0.10,-0.44,1.27,32.47,8.79,34.79
S,-0.01,-0.24,1.29,1.59,48.10,61.65
S,0.02,-0.42,1.07,2.75,113.10,64.21
S,0.05,-0.49,0.54,13.98,153.20,84.90
S,0.04,-0.48,0.39,15.20,97.84,120.67
S,0.06,-0.03,0.96,1.71,33.02,185.12
S,0.04,0.28,0.83,-9.70,53.89,194.09
S,-0.00,0.31,0.44,28.32,41.32,187.13
S,0.04,0.22,0.51,39.73,0.43,200.99
S,0.04,0.46,0.39,18.92,-14.34,223.69
S,0.01,1.01,0.51,26.43,-61.65,196.72
S,-0.10,1.14,0.45,41.26,-58.96,150.21
S,-0.10,1.13,0.51,31.80,-73.61,104.68
S,-0.20,1.13,0.54,-6.29,-76.42,48.95
S,-0.09,1.41,0.75,-15.75,-100.59,5.37
S,-0.06,1.02,0.66,-36.13,-63.66,-86.55
S,0.01,0.94,0.95,-39.73,-77.15,-135.62
