Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
T,-0.17,-0.09,0.95,-5.07,-3.05,-2.50
T,-0.17,-0.10,0.94,-2.01,-4.64,-3.60
T,-0.16,-0.11,0.95,-1.71,-4.88,-4.15
T,-0.16,-0.10,0.96,-11.35,-2.69,-1.59
T,-0.18,-0.09,0.97,-14.16,-1.04,-0.79
T,-0.22,-0.10,0.96,-29.85,2.93,-1.40
T,-0.10,-0.09,0.94,-14.40,-2.14,-7.08
T,-0.20,-0.12,1.05,-13.67,-10.19,-10.86
T,-0.16,-0.20,0.99,-30.33,0.92,-6.23
T,-0.18,-0.16,0.98,-39.79,3.54,-1.46
T,-0.13,-0.24,0.91,-16.11,7.57,-7.14
T,-0.20,-0.24,0.91,-55.97,6.84,-1.71
T,-0.18,-0.27,0.87,-16.36,8.54,-3.17
T,-0.20,-0.17,0.90,21.91,-6.53,-2.93
T,-0.22,-0.21,0.98,15.14,-7.14,-6.65
T,-0.19,-0.26,0.94,28.02,-8.97,-6.65
T,-0.18,-0.20,0.97,1.53,-3.54,-3.78
T,-0.18,-0.28,0.91,0.18,-0.98,-3.42
T,-0.19,-0.20,0.85,5.19,-5.31,4.58
T,-0.18,-0.19,0.91,-0.67,-10.50,-3.66
T,-0.18,-0.23,0.99,5.86,-14.28,-8.61
T,-0.19,-0.25,1.02,12.33,-11.66,-10.25
T,-0.19,-0.21,1.12,14.16,-9.58,-8.06
T,-0.24,-0.17,1.18,20.87,-6.10,-7.75
T,-0.28,-0.20,1.26,22.52,0.98,-12.70
T,-0.29,-0.25,1.23,19.41,4.94,-11.90
T,-0.30,-0.20,1.33,7.14,17.15,-6.96
T,-0.30,-0.19,1.21,2.08,40.41,-5.86
T,-0.34,-0.33,1.17,1.53,44.25,-7.26
T,-0.33,-0.30,1.18,-2.56,51.39,6.53
T,-0.36,-0.24,1.14,-22.58,55.30,14.34
T,-0.36,-0.18,1.08,13.79,64.58,19.10
T,-0.36,-0.14,0.88,21.73,64.27,16.54
T,-0.38,-0.20,0.70,16.30,64.58,13.73
T,-0.40,0.01,0.65,-5.62,64.27,18.86
T,-0.26,-0.00,0.53,35.40,67.87,8.79
T,-0.18,0.04,0.51,49.26,53.53,1.28
T,-0.14,-0.04,0.50,57.07,17.88,-15.44
T,-0.15,-0.09,0.63,35.10,5.80,-14.89
T,-0.12,-0.13,0.47,24.84,14.28,-3.66
T,-0.01,0.18,0.10,9.28,-2.20,7.63
T,-0.02,0.07,-0.01,-8.00,-39.12,-17.82
T,0.05,-0.07,-0.13,-33.75,-120.36,-35.28
T,0.33,-0.02,-0.21,-79.83,-261.05,-49.38
T,0.35,0.19,0.32,-1.77,-353.94,-74.40
T,0.36,-0.57,1.77,157.17,-391.72,-98.51
T,0.33,-0.52,2.42,78.98,-323.12,-35.16
