Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
U,-0.01,0.12,0.98,-3.36,-4.27,-8.36
U,-0.01,0.09,0.98,-4.58,-2.44,-8.91
U,-0.02,0.11,0.96,-1.89,-2.56,-6.77
U,-0.01,0.11,0.97,-4.15,-2.08,-7.08
U,-0.01,0.10,0.98,2.99,0.37,-9.83
U,-0.05,0.12,1.00,7.87,-1.89,-8.36
U,0.02,0.14,1.00,-3.48,-9.52,-6.53
U,0.00,0.14,0.97,-1.59,-6.77,-7.69
U,-0.02,0.15,0.99,-1.95,-6.96,-10.19
U,-0.03,0.10,0.99,-6.29,-2.44,-7.81
U,-0.04,0.10,0.96,-8.73,0.37,-8.06
U,-0.02,0.08,0.93,-22.64,2.08,-7.02
U,0.02,0.05,0.92,-15.99,-4.82,-6.71
U,-0.00,0.13,0.96,-17.27,-7.14,-5.92
U,-0.03,0.05,0.93,-11.66,-3.42,-14.16
U,-0.04,-0.04,1.07,-25.21,-6.71,-13.00
U,-0.04,-0.03,1.03,-46.81,7.51,-4.52
U,-0.07,-0.05,1.12,-6.96,0.43,-3.36
U,0.01,-0.07,1.30,64.15,1.65,-11.90
U,-0.08,0.07,1.39,25.88,7.81,-1.22
U,-0.07,0.11,1.36,28.02,34.06,-2.50
U,-0.13,0.07,1.26,18.68,50.60,-2.50
U,-0.19,0.03,1.15,13.61,69.95,3.97
U,-0.22,0.14,1.20,-20.63,85.21,4.09
U,-0.25,0.07,1.09,-11.35,90.52,4.27
U,-0.26,-0.04,0.90,9.83,84.90,8.00
U,-0.26,-0.02,0.84,-12.27,73.36,14.59
U,-0.24,-0.08,0.76,-15.93,70.56,17.76
U,-0.21,-0.07,0.51,-26.25,58.11,32.71
U,-0.25,-0.01,0.43,-29.79,40.59,38.09
U,-0.19,0.13,0.15,-58.47,20.94,41.69
U,-0.04,0.15,0.21,-17.88,-39.86,13.12
U,0.06,-0.05,0.33,18.01,-72.02,-0.98
U,0.28,-0.19,0.41,44.62,-126.83,6.41
U,0.28,-0.02,0.53,-15.44,-188.23,40.28
U,0.28,0.19,0.70,-35.22,-210.33,39.61
U,0.30,0.32,0.89,14.04,-218.93,18.07
U,0.36,0.37,0.89,-16.85,-216.80,10.80
U,0.44,0.43,1.02,-55.30,-231.75,-15.44
U,0.49,0.60,1.44,-55.48,-224.49,-53.10
U,0.55,0.31,1.75,-36.62,-199.52,-88.62
U,0.55,0.22,1.95,-75.50,-112.30,-97.66
U,0.64,0.09,1.87,-67.32,-28.75,-114.32
U,0.57,-0.32,2.00,-29.48,31.49,-139.16
U,0.58,-0.54,1.91,-28.14,134.34,-94.60
U,0.61,-0.54,1.85,-42.11,221.19,-64.27
U,0.52,-0.62,1.61,-30.21,278.63,-38.94
U,0.46,-0.24,0.98,-65.43,320.74,22.34
U,0.33,-0.24,0.41,-49.50,331.54,30.70
U,0.18,-0.33,-0.10,-3.54,246.95,62.01
U,0.26,0.46,-0.56,-55.79,108.83,80.38
U,0.14,0.23,-0.35,-8.97,-12.02,0.37
U,0.27,-0.03,0.10,21.85,-128.72,-23.38
U,0.25,0.08,0.54,49.19,-180.24,-23.44
U,0.12,-0.29,0.98,78.61,-171.63,-44.80
U,-0.05,0.00,1.39,-23.56,-114.99,22.40
U,-0.11,0.09,1.33,-12.08,-76.23,6.90
U,-0.17,-0.34,1.64,42.30,-48.52,-7.69
U,-0.17,-0.33,2.08,27.89,36.50,26.79
U,-0.15,-0.24,1.74,10.62,104.13,44.92
U,-0.14,-0.07,1.24,27.16,136.17,59.02
U,-0.30,-0.29,1.35,64.21,124.08,59.27
U,-0.25,0.06,1.28,-0.61,151.25,89.97
U,-0.29,0.45,0.96,-26.06,164.61,73.18
U,-0.32,0.17,0.85,16.91,153.26,28.63
U,-0.34,0.13,0.48,5.62,167.54,30.33
U,-0.34,0.40,0.09,-50.29,117.92,35.34
U,-0.23,0.34,0.26,-12.21,70.56,13.00
U,-0.27,0.23,0.13,-18.37,50.66,1.95
U,-0.16,0.10,0.01,-24.60,-11.23,-10.44
U,-0.04,0.05,-0.14,-31.62,-67.32,-7.87
U,0.01,-0.02,-0.02,16.24,-172.79,-16.60
U,0.17,-0.01,0.14,23.07,-239.56,-13.00
U,0.35,-0.08,0.31,52.19,-295.59,-15.87
U,0.49,0.02,0.68,8.61,-364.26,4.88
U,0.59,-0.04,1.30,1.40,-355.35,-7.57
U,0.49,-0.03,1.86,-32.71,-271.36,28.99
U,0.56,0.20,1.36,-59.45,-186.83,46.39
U,0.60,0.25,1.45,-28.32,-177.80,26.92
U,0.64,0.02,1.88,28.63,-142.27,19.29
U,0.64,0.36,2.06,-22.71,-31.37,22.22
U,0.64,0.43,1.69,-41.08,37.60,-11.60
U,0.62,0.41,1.21,-27.04,65.98,-48.52
U,0.55,0.38,1.00,-23.80,65.19,-72.02
U,0.35,0.34,1.25,-38.70,53.22,-110.72
U,0.45,0.17,1.21,-41.14,89.48,-146.91
U,0.34,-0.22,1.18,-15.14,100.22,-162.23
U,0.22,-0.74,1.36,9.22,120.36,-133.79
U,0.36,-0.36,1.46,-14.28,155.82,-64.15
U,0.34,-0.24,1.10,-34.06,170.78,-48.10
U,0.05,-0.59,1.09,3.66,165.65,-40.65
U,-0.00,-0.81,0.99,0.24,181.27,1.53
U,0.04,-0.47,0.52,-42.54,195.86,101.93
U,0.12,-0.03,0.43,-11.54,152.10,139.22
U,0.11,0.22,0.18,-21.18,105.22,128.78
U,0.11,0.87,0.09,-58.23,-6.23,44.98
U,-0.12,0.12,0.32,49.62,-64.70,-54.57
U,-0.01,0.07,0.44,50.78,-75.56,-27.28
U,0.07,0.39,0.40,-22.22,-88.99,-21.85
U,-0.03,0.12,0.50,-21.24,-106.81,-48.58
U,-0.18,-0.14,0.89,39.67,-132.32,-66.28
U,-0.25,-0.42,1.50,48.58,-103.09,-39.43
U,-0.26,-0.22,1.69,1.22,-47.49,-2.75
U,-0.25,-0.20,1.72,16.66,9.89,9.77
U,-0.13,-0.27,1.70,13.43,64.94,4.03
U,-0.42,-0.28,1.75,-31.80,93.08,32.41
U,-0.35,-0.15,1.48,-15.50,88.26,36.13
U,-0.29,0.20,1.30,0.67,111.76,51.45
U,-0.28,0.07,1.01,-43.95,115.72,40.65
U,-0.25,-0.04,0.75,-59.20,102.97,50.35
U,-0.17,0.24,0.54,-74.71,106.26,67.63
U,-0.08,0.19,0.27,3.42,86.00,5.98
U,-0.08,-0.12,0.20,26.25,51.94,-16.11
U,-0.01,-0.14,0.02,-22.28,27.65,3.78
U,0.01,-0.13,-0.22,-15.01,-52.67,16.66
U,0.08,-0.02,-0.01,10.01,-158.57,16.11
U,0.24,-0.20,0.00,-6.41,-233.22,5.00
U,0.44,-0.24,0.60,33.51,-316.59,20.87
U,0.49,-0.09,0.93,12.88,-330.26,42.72
U,0.57,0.27,1.36,44.62,-323.12,58.29
U,0.78,0.70,1.60,54.75,-286.32,64.70
U,0.77,0.93,1.62,-5.49,-247.25,19.78
U,0.77,0.60,1.66,3.66,-196.78,-59.20
U,0.86,0.48,1.74,-14.71,-139.65,-73.91
U,0.82,0.50,1.87,-70.92,-95.58,-89.84
U,0.79,0.04,1.77,-55.11,-16.60,-129.09
U,0.77,-0.38,1.60,-39.73,21.18,-131.53
U,0.73,-0.25,1.60,-62.50,76.54,-67.69
U,0.71,-0.31,1.73,-32.35,150.76,-53.89
U,0.74,-0.31,1.28,-46.08,204.71,-36.80
U,0.52,-0.32,1.03,-45.53,212.65,-10.38
U,0.35,-0.64,1.45,31.49,261.90,22.16
U,0.48,-0.27,1.20,-9.28,331.12,60.61
U,0.58,0.67,0.25,-170.65,278.56,87.89
U,0.13,0.24,-0.49,-49.01,167.30,13.31
U,0.15,0.11,-0.53,33.33,67.99,-8.36
U,0.11,-0.05,0.27,30.82,-69.46,-36.01
U,0.06,-0.01,0.58,15.20,-87.10,-32.53
U,-0.06,-0.22,0.84,58.53,-82.76,-30.64
U,-0.09,-0.07,0.87,33.33,-63.54,5.43
U,-0.10,0.06,1.00,16.17,-61.04,8.12
U,-0.09,0.11,1.14,11.90,-42.48,-2.08
U,-0.09,-0.04,1.15,10.56,-19.17,-12.70
U,-0.11,-0.11,1.12,6.35,-13.31,-7.14
U,-0.10,-0.02,1.02,0.67,-7.75,3.66
U,-0.12,0.06,1.05,1.83,-4.33,0.06
U,-0.07,-0.06,0.94,4.58,16.85,-10.44
U,0.07,0.01,0.66,-3.97,12.57,-0.67
U,0.10,-0.11,0.76,14.22,-12.33,-15.87
U,0.14,-0.35,1.14,43.52,-21.18,-17.58
U,0.11,-0.56,1.38,53.34,-10.93,-5.92
U,-0.08,-0.33,1.67,10.99,27.47,54.02
U,-0.24,0.03,1.58,-21.18,93.99,51.51
U,-0.36,-0.08,1.54,11.05,118.10,36.56
U,-0.37,-0.02,1.32,-16.60,146.36,56.34
U,-0.42,0.17,0.94,-59.33,150.02,68.24
U,-0.48,0.21,0.74,-52.12,143.01,61.22
U,-0.48,0.24,0.47,-20.57,129.46,49.19
U,-0.45,0.27,0.16,-2.99,94.42,31.68
U,-0.47,0.32,0.04,-30.09,58.17,30.21
U,-0.40,0.33,-0.01,-7.08,10.86,7.20
U,-0.27,0.26,-0.02,12.88,-27.71,-11.60
U,-0.10,0.01,0.21,10.50,-99.79,-31.49
U,0.08,-0.00,0.48,-16.36,-150.15,-19.53
U,0.15,-0.07,0.67,1.71,-164.12,-19.84
U,0.08,-0.36,0.82,-2.14,-170.90,-1.59
U,0.08,-0.30,0.72,-16.48,-166.56,28.87
U,0.17,0.17,0.73,-36.74,-194.76,59.02
U,0.21,0.26,1.09,-18.07,-225.59,24.54
U,0.34,0.30,1.31,6.65,-214.78,5.86
U,0.41,0.37,1.49,17.64,-195.86,-7.75
U,0.38,0.34,1.48,0.85,-167.66,-36.99
U,0.47,0.42,1.33,2.32,-145.20,-40.10
U,0.53,0.45,1.19,-9.83,-135.74,-56.34
U,0.59,0.46,1.53,-43.70,-117.43,-97.53
U,0.64,0.08,1.58,-25.57,-70.92,-134.70
U,0.59,-0.41,1.64,-20.14,-18.19,-130.80
U,0.56,-0.46,1.67,-41.56,20.51,-92.41
U,0.44,-0.43,1.82,-26.67,105.35,-48.89
U,0.57,-0.28,1.95,-31.86,259.46,-30.33
U,0.69,-0.26,1.55,-38.64,343.26,-28.20
U,0.81,-0.02,0.44,-85.33,309.81,15.87
U,0.07,-0.28,-0.32,-48.65,209.41,28.14
U,0.16,0.22,-0.34,-43.76,132.63,53.96
U,0.16,0.07,0.24,-16.17,0.00,-27.95
U,0.05,-0.21,0.47,-3.30,-34.79,-36.74
U,-0.03,-0.28,0.62,13.79,-56.88,-17.76
U,-0.12,-0.15,0.78,14.22,-66.89,2.81
U,-0.12,-0.05,0.93,29.72,-65.06,6.96
U,-0.05,0.06,1.12,30.40,-46.69,-1.59
