Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
V,-0.42,0.09,0.88,-4.46,-3.60,-0.24
V,-0.42,0.10,0.88,-10.93,-1.28,0.06
V,-0.40,0.10,0.86,-23.80,0.31,1.40
V,-0.42,0.09,0.87,-33.63,-0.67,2.14
V,-0.40,0.08,0.82,-44.01,-2.56,1.65
V,-0.44,0.11,0.92,-46.75,-3.85,-2.56
V,-0.37,-0.02,0.70,88.01,-10.13,-16.36
V,-0.41,0.02,0.77,2.14,-12.08,-11.35
V,-0.41,0.15,0.84,-2.14,-9.83,-9.16
V,-0.42,0.01,0.90,-32.84,-8.18,-29.85
V,-0.43,-0.02,0.81,-37.60,-10.38,-13.24
V,-0.39,-0.09,0.82,-26.67,-13.55,-14.10
V,-0.45,-0.09,0.84,-21.85,-17.70,-4.70
V,-0.48,-0.04,0.93,-62.81,-35.52,-4.52
V,-0.49,-0.18,0.97,-63.96,-25.51,-13.92
V,-0.51,-0.23,1.00,-50.42,-4.46,-10.93
V,-0.56,-0.25,1.02,-27.71,0.67,-0.73
V,-0.57,-0.19,1.06,-22.28,-2.32,11.60
V,-0.56,-0.22,1.05,2.69,1.46,14.40
V,-0.55,-0.18,1.02,54.08,5.25,15.87
V,-0.53,-0.05,1.05,82.64,19.59,12.02
V,-0.50,-0.08,0.88,39.06,35.83,8.48
V,-0.52,-0.18,0.79,28.50,28.26,-1.40
V,-0.42,-0.10,0.79,31.62,14.40,24.96
V,-0.42,-0.11,0.79,25.27,10.25,12.45
V,-0.45,-0.13,0.94,14.04,13.98,12.51
V,-0.47,-0.13,0.92,45.59,25.33,17.09
V,-0.46,0.04,0.92,32.78,13.73,13.73
V,-0.39,0.05,0.69,32.29,16.85,11.11
V,-0.48,-0.02,0.71,12.88,15.26,5.19
V,-0.47,0.05,0.74,-13.00,7.51,8.48
V,-0.47,0.08,0.95,-22.16,1.89,3.23
V,-0.46,-0.01,0.92,-29.17,10.44,-2.01
V,-0.40,0.06,0.77,-27.59,10.74,11.60
V,-0.38,0.08,0.71,-30.33,14.65,17.76
V,-0.38,0.10,0.65,8.48,13.49,15.08
V,-0.30,0.20,0.45,-12.94,11.05,8.61
V,-0.21,0.15,0.43,18.49,-17.03,-11.05
V,-0.15,0.11,0.43,23.80,-37.35,-13.18
V,-0.06,0.10,0.42,29.17,-70.43,-19.84
V,0.09,0.30,0.17,-9.89,-102.23,-22.22
