Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
W,-0.31,-0.08,0.92,-2.08,-3.66,-4.27
W,-0.30,-0.08,0.94,-1.46,-3.11,-4.03
W,-0.29,-0.07,0.94,0.12,1.22,-5.86
W,-0.28,-0.06,0.94,-5.74,1.22,-5.00
W,-0.28,-0.01,0.98,-2.14,1.10,-6.29
W,-0.28,-0.00,0.95,-9.03,9.89,-9.40
W,-0.29,-0.08,0.84,-3.60,15.69,-11.23
W,-0.32,-0.08,0.86,-2.93,4.33,-9.52
W,-0.33,-0.09,0.89,-1.77,4.58,-9.70
W,-0.31,-0.10,0.85,-5.86,2.50,-9.16
W,-0.34,-0.16,0.87,-1.34,-4.88,-9.16
W,-0.34,-0.17,0.90,3.97,-14.10,-7.69
W,-0.42,-0.16,1.04,19.47,-22.52,-5.80
W,-0.45,-0.23,1.13,3.30,-6.35,-1.34
W,-0.46,-0.19,1.11,9.89,2.75,10.19
W,-0.47,-0.15,1.07,11.84,9.09,16.60
W,-0.50,-0.21,1.07,15.44,11.17,17.88
W,-0.46,-0.10,1.08,18.49,9.83,27.83
W,-0.53,-0.12,1.23,34.67,10.13,18.86
W,-0.45,-0.16,1.05,19.90,34.91,28.14
W,-0.44,-0.18,1.03,25.33,38.02,36.56
W,-0.43,-0.15,0.99,22.34,43.15,49.99
W,-0.43,-0.03,0.91,19.10,50.05,53.96
W,-0.42,0.01,0.94,27.83,42.91,49.74
W,-0.38,0.12,0.98,32.10,49.44,50.05
W,-0.39,0.12,0.84,23.74,60.30,43.33
W,-0.35,0.22,0.68,13.18,59.81,44.43
W,-0.33,0.26,0.63,14.83,52.43,33.39
W,-0.31,0.21,0.56,11.11,40.89,19.59
W,-0.26,0.28,0.45,12.39,28.38,11.72
W,-0.21,0.28,0.38,11.60,15.01,3.85
W,-0.17,0.28,0.35,11.72,-11.54,-2.87
W,-0.15,0.27,0.29,9.95,-33.57,-9.16
W,-0.09,0.29,0.21,2.75,-83.86,-21.06
W,0.02,0.25,-0.13,5.49,-176.33,-32.59
W,0.20,0.19,-0.06,29.11,-273.32,-44.49
W,0.32,-0.05,0.73,58.23,-380.07,-34.85
W,0.44,-0.12,1.51,23.38,-376.65,27.47
W,0.42,0.10,1.77,-15.93,-328.06,57.62
W,0.38,0.25,2.02,-35.28,-221.44,40.65
W,0.36,0.23,2.26,8.97,-114.01,11.78
W,0.40,0.19,2.56,27.89,-44.31,13.92
W,0.24,0.73,2.61,3.36,130.98,-3.91
W,0.49,0.74,1.95,-2.50,261.05,-59.57
