Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
X,-0.36,0.17,0.81,-15.56,12.57,26.86
X,-0.31,0.32,0.82,-0.12,5.07,23.56
X,-0.33,0.27,0.72,-3.11,-5.07,11.60
X,-0.34,0.14,0.61,-4.21,-12.33,-16.36
X,-0.34,0.24,0.88,-6.23,-31.31,-12.57
X,-0.35,0.19,0.84,-0.61,-21.12,-25.88
X,-0.33,0.22,0.94,16.36,-41.87,-33.26
X,-0.42,-0.01,1.03,-14.10,-33.87,-33.45
X,-0.34,0.13,1.13,-39.67,-17.88,-19.10
X,-0.40,0.01,1.00,-43.58,0.18,-15.81
X,-0.50,-0.04,1.04,-76.78,-10.56,-5.62
X,-0.42,-0.01,1.11,29.42,-11.72,-4.09
X,-0.29,-0.06,1.20,-21.97,2.93,-9.16
X,-0.47,-0.13,0.91,40.10,7.81,35.16
X,-0.50,-0.10,1.26,75.56,-22.83,51.70
X,-0.42,0.24,1.27,17.40,28.14,78.74
X,-0.58,0.06,0.93,26.37,46.51,23.50
X,-0.32,0.03,1.01,0.55,21.12,36.44
X,-0.41,0.15,1.05,4.76,31.80,36.93
X,-0.27,0.32,0.99,-12.02,31.62,54.02
X,-0.31,0.15,0.90,-2.69,42.24,24.48
X,-0.24,0.22,0.69,11.47,50.35,12.70
X,-0.23,0.22,0.64,3.05,38.33,20.39
X,-0.21,0.35,0.59,4.52,18.62,0.00
X,-0.16,0.35,0.55,26.98,11.72,11.17
X,-0.15,0.38,0.52,19.17,2.38,-0.92
X,-0.11,0.51,0.62,23.99,-16.42,-13.37
X,-0.06,0.44,0.43,16.24,-19.17,-26.61
X,-0.10,0.43,0.39,9.89,-37.84,-30.03
X,-0.04,0.47,0.32,8.91,-56.09,-36.62
X,0.01,0.41,0.24,15.75,-75.74,-42.54
X,0.03,0.42,0.34,1.71,-125.12,-51.82
X,0.04,0.28,0.50,-8.12,-154.91,-60.42
X,0.26,0.38,0.23,-28.87,-177.00,-61.89
X,0.13,-0.02,1.12,-34.30,-269.53,-89.29
X,0.29,-0.05,1.13,-82.15,-199.77,-42.91
X,0.28,-0.32,1.29,-94.12,-188.84,-54.69
X,0.25,-0.53,2.03,-70.25,-166.87,-50.35
X,0.26,-0.52,1.99,-61.10,-100.77,-21.00
X,0.26,-0.35,1.73,-12.27,-37.29,5.19
X,0.24,-0.19,2.02,4.15,0.79,17.64
X,0.21,-0.02,2.23,-9.40,55.42,17.88
X,0.19,0.42,1.94,-46.14,167.36,8.79
X,0.20,0.13,1.36,-2.01,222.11,-27.89
X,0.15,-0.00,1.01,-9.52,226.07,-54.93
X,0.01,0.23,1.14,-45.90,168.27,-24.35
X,-0.05,-0.12,0.63,-38.45,185.12,-37.84
X,-0.12,-0.06,0.53,-45.59,149.23,-21.36
X,-0.17,0.01,0.55,-19.47,119.87,-23.07
X,-0.16,-0.10,0.20,-24.23,115.66,-34.61
X,-0.14,-0.19,-0.01,-17.52,75.62,-18.80
X,-0.08,-0.33,0.19,0.73,6.77,-24.90
X,-0.01,-0.31,0.41,-15.38,-20.39,-16.91
X,0.14,-0.52,0.39,7.02,-42.42,-23.68
X,0.11,-0.95,0.31,-21.85,-69.15,-3.66
X,0.19,-0.88,0.12,-27.65,-91.61,39.31
X,0.22,-0.77,0.23,-1.10,-156.74,73.55
X,0.27,-0.59,0.29,1.16,-196.96,104.25
X,0.30,0.02,1.01,-7.08,-275.70,133.42
X,0.23,0.63,2.28,-15.99,-254.09,121.15
X,0.10,0.80,2.14,-10.07,-147.03,75.68
X,0.02,0.53,1.77,51.21,-72.02,17.33
X,0.04,0.40,1.82,3.30,-26.06,-8.85
X,0.06,0.26,1.53,-1.53,17.52,-23.62
X,0.14,-0.05,1.25,10.19,28.69,-33.20
X,0.16,-0.15,1.17,2.14,33.94,-23.68
X,0.10,-0.09,1.00,-15.99,40.04,-8.91
X,0.10,-0.17,1.05,16.85,34.12,-15.44
X,0.07,-0.17,1.15,21.67,39.06,-7.75
X,-0.04,-0.22,1.17,20.26,47.36,-4.70
X,-0.13,-0.37,1.40,31.13,57.68,7.63
X,-0.20,-0.28,1.38,16.85,80.93,30.88
X,-0.18,-0.24,1.18,42.60,95.40,27.34
X,-0.24,-0.23,1.17,41.63,97.23,34.00
X,-0.18,-0.10,1.08,43.33,98.45,49.38
X,-0.23,-0.06,0.96,23.99,94.06,42.79
X,-0.21,0.05,0.74,14.71,96.62,47.55
X,-0.23,0.08,0.58,20.14,63.35,25.15
X,-0.20,0.10,0.70,-5.92,41.38,24.29
X,-0.17,0.19,0.72,-8.24,35.40,21.12
X,-0.15,0.16,0.60,10.07,27.53,8.79
X,-0.14,0.14,0.54,19.41,13.00,2.87
X,-0.12,0.18,0.52,13.55,-7.57,-4.58
X,-0.09,0.12,0.60,17.82,-28.02,-14.59
X,-0.05,0.17,0.54,17.64,-31.31,-12.33
X,0.01,0.21,0.43,30.58,-54.50,-23.50
X,0.04,0.32,0.44,30.09,-95.76,-38.64
X,0.06,0.36,0.60,14.28,-116.33,-57.19
X,0.16,0.52,0.50,-20.20,-134.89,-81.42
X,0.15,0.35,0.55,-14.47,-171.45,-103.58
X,0.10,0.04,0.75,-25.09,-183.35,-104.00
X,0.26,-0.03,0.97,-22.09,-200.20,-88.93
X,0.31,-0.25,1.20,-24.41,-201.42,-88.62
X,0.29,-0.39,1.59,-31.43,-168.70,-69.52
X,0.33,-0.36,1.76,-22.03,-114.26,-45.47
X,0.41,-0.43,1.75,-10.93,-66.77,-41.63
X,0.42,-0.36,1.48,-13.18,-15.32,-20.75
X,0.36,-0.39,1.39,-18.01,1.10,-15.01
X,0.30,-0.34,1.21,-18.80,20.45,2.20
X,0.27,-0.24,1.16,-22.58,23.50,10.62
X,0.25,-0.25,1.15,-12.57,30.82,17.21
X,0.28,-0.26,1.23,-1.04,44.49,27.89
X,0.25,0.04,1.87,6.04,61.77,34.36
X,0.21,0.11,1.81,-11.60,119.63,27.10
X,0.20,0.18,1.63,7.32,173.89,11.47
X,0.12,0.10,1.41,2.32,202.51,5.74
X,0.06,0.28,0.86,-27.83,203.55,-12.27
X,-0.08,-0.14,0.75,-37.11,163.02,-26.31
X,-0.13,0.03,0.58,-54.87,152.40,-10.93
X,-0.15,-0.05,0.44,-41.38,125.61,-28.87
X,-0.15,-0.17,0.18,-40.95,101.68,-27.59
X,-0.15,-0.19,0.21,-10.38,61.95,-26.18
X,-0.10,-0.23,0.62,-12.45,7.14,-32.96
X,-0.10,-0.35,0.61,-38.21,28.44,-32.78
X,-0.07,-0.43,0.32,-20.20,20.63,-43.95
X,-0.05,-0.57,0.22,-52.43,-5.80,-11.29
X,-0.08,-0.64,0.28,-84.96,-31.49,-8.00
X,-0.06,-0.54,0.23,-64.51,-66.22,10.38
X,0.01,-0.63,0.33,-12.45,-103.39,9.95
X,0.07,-0.54,0.37,-14.83,-128.60,16.85
X,0.10,-0.49,0.40,5.25,-178.41,18.25
X,0.10,-0.59,0.72,15.50,-216.43,18.86
X,0.18,-0.14,1.35,34.55,-229.61,47.00
X,0.17,-0.05,1.56,22.09,-176.39,37.29
X,0.13,-0.10,1.66,39.73,-152.28,26.61
X,0.12,0.06,1.80,37.35,-100.52,32.29
X,0.08,0.11,1.60,18.01,-46.63,18.25
X,0.11,0.05,1.37,13.06,-18.92,4.52
X,0.12,-0.17,1.14,9.77,-4.33,-5.37
X,0.10,-0.18,1.12,4.27,-5.13,-3.30
X,0.12,-0.07,1.09,-0.73,5.07,-4.39
X,0.16,-0.21,0.95,23.32,14.77,-16.54
X,0.19,-0.32,0.87,29.30,15.08,-14.65
X,0.18,-0.28,0.93,16.24,1.34,-9.64
X,0.18,-0.25,0.94,18.55,2.32,-6.04
X,0.20,-0.22,0.97,28.75,2.44,-4.82
X,0.19,-0.26,1.01,26.37,4.03,-3.85
X,0.13,-0.25,1.00,25.82,4.21,2.93
X,0.11,-0.34,1.33,44.43,1.65,6.71
X,0.06,-0.42,1.81,69.95,37.35,25.33
X,0.04,-0.38,1.77,48.65,95.21,37.05
X,-0.09,-0.38,1.28,52.80,164.73,71.17
X,-0.11,-0.21,0.88,104.43,165.28,86.36
X,-0.17,-0.18,0.87,116.46,134.46,84.59
X,-0.15,0.19,0.82,69.27,107.36,87.46
X,-0.17,0.31,0.61,62.13,103.45,67.50
X,-0.25,0.19,0.56,47.55,61.95,15.26
X,-0.22,0.13,0.63,41.32,33.81,7.51
X,-0.15,0.16,0.73,21.24,26.37,11.47
X,-0.05,0.25,0.72,10.13,18.55,7.87
X,-0.04,0.27,0.65,22.40,15.20,-15.14
X,-0.00,0.21,0.53,28.75,9.40,-18.49
X,0.01,0.42,0.27,21.18,-13.00,-23.13
X,-0.02,0.37,0.24,33.63,-50.11,-39.92
X,0.07,0.41,0.21,25.21,-98.21,-57.86
X,0.10,0.35,0.40,13.55,-143.80,-81.67
X,0.13,0.21,0.59,-5.68,-169.68,-88.87
X,0.11,0.31,0.79,-36.99,-175.48,-76.97
X,0.15,0.34,0.55,-24.54,-187.13,-91.00
X,0.29,0.05,0.62,-18.07,-216.98,-103.88
X,0.40,-0.34,1.18,-31.56,-248.17,-89.23
X,0.50,-0.31,1.60,-42.48,-231.63,-52.25
X,0.53,-0.03,1.64,-62.44,-163.64,-52.37
X,0.53,-0.30,1.59,-42.60,-103.88,-74.52
X,0.52,-0.51,1.67,-29.24,-72.57,-56.40
X,0.49,-0.25,1.51,-37.11,-13.00,-9.83
X,0.52,-0.12,1.48,-38.64,21.55,-9.64
X,0.49,-0.27,1.63,-25.15,45.47,-17.64
X,0.42,-0.15,1.65,-42.72,102.23,9.09
X,0.39,-0.00,1.74,-34.30,138.55,19.84
X,0.44,0.09,1.54,-4.15,204.83,26.73
X,0.26,0.40,1.00,-37.96,216.61,7.81
X,0.08,0.34,0.85,-44.31,199.46,-24.29
X,-0.02,-0.13,0.88,-14.34,156.25,-52.19
X,0.01,-0.08,0.84,-77.39,163.64,-18.07
X,0.10,0.14,0.70,-74.28,156.43,-3.66
X,-0.00,-0.31,0.43,-54.20,121.46,-50.11
X,-0.10,-0.13,0.29,-109.50,95.95,-37.54
X,-0.14,-0.35,0.36,-60.18,56.76,-55.91
X,-0.10,-0.47,0.26,-12.63,28.99,-40.65
X,-0.07,-0.65,0.04,-7.02,11.11,-30.52
X,0.01,-0.68,0.03,-0.43,-41.08,1.04
X,0.11,-0.51,0.41,16.54,-102.78,31.68
X,0.19,-0.69,0.45,36.62,-112.18,31.43
X,0.44,-0.72,0.04,36.50,-135.80,62.50
X,0.42,-0.84,0.01,51.51,-201.05,67.02
X,0.44,-0.25,0.86,55.66,-264.77,147.71
X,0.44,0.47,1.36,-5.43,-245.30,119.87
X,0.39,0.37,1.67,52.19,-224.12,75.38
X,0.30,0.56,2.01,27.04,-154.24,50.54
X,0.22,0.34,1.89,28.44,-74.34,10.93
X,0.24,0.35,1.65,17.46,-29.24,6.71
X,0.27,0.23,1.43,6.96,-4.64,-10.50
X,0.29,0.12,1.30,-0.61,8.67,-17.21
X,0.27,-0.05,1.18,3.17,22.40,-26.06
X,0.24,-0.11,1.26,8.91,38.21,-16.72
X,0.21,-0.17,1.17,11.66,59.14,-14.59
X,0.20,-0.15,1.10,33.33,69.70,-10.38
X,0.15,-0.28,1.42,66.71,63.84,-4.52
X,0.16,-0.10,1.49,58.35,83.92,31.25
X,0.08,-0.11,1.36,67.81,121.09,19.29
X,0.06,-0.23,1.18,78.67,131.04,22.83
X,-0.01,-0.07,0.98,43.58,137.33,30.64
X,0.01,0.10,0.71,44.13,129.46,18.55
X,-0.00,0.09,0.84,49.50,96.56,-8.36
X,-0.13,-0.06,0.78,1.40,99.12,-17.52
X,-0.14,-0.09,0.43,0.92,84.59,2.81
X,-0.14,-0.01,0.47,-0.12,50.29,24.60
X,0.01,0.22,0.63,11.11,11.96,16.05
X,-0.01,0.03,0.76,23.56,3.05,6.65
X,0.04,0.36,0.32,17.33,2.87,12.08
X,0.05,0.27,0.24,50.78,-45.96,-10.74
X,0.06,0.16,0.24,52.25,-81.48,-20.94
X,0.13,0.48,0.51,40.16,-125.37,-10.31
X,0.18,0.49,0.31,47.67,-156.07,-63.96
X,0.17,0.43,0.40,59.02,-194.95,-82.58
X,0.25,0.59,0.71,45.84,-207.89,-87.89
X,0.37,0.30,0.75,37.54,-214.29,-113.77
X,0.39,-0.15,1.44,21.91,-231.81,-89.42
X,0.43,0.17,1.75,-51.64,-161.25,-41.87
X,0.51,0.33,1.58,-61.04,-114.69,-56.03
X,0.42,-0.19,1.45,-67.99,-68.79,-83.31
X,0.39,-0.25,1.43,-78.49,-65.92,-40.95
X,0.40,0.05,1.58,-92.65,-44.74,-11.47
X,0.42,-0.16,1.67,-41.26,3.54,-10.56
X,0.40,-0.08,1.46,-51.82,54.32,19.84
X,0.29,0.11,1.67,-68.05,71.11,26.49
X,0.32,0.28,1.83,-71.35,143.98,20.94
X,0.31,0.20,1.40,-68.73,195.56,11.29
X,0.14,-0.10,1.32,-31.31,192.38,30.46
X,0.05,0.34,0.96,-133.12,240.72,114.56
X,0.03,0.50,0.89,-87.52,217.47,64.70
X,0.02,-0.20,0.67,-37.78,177.92,-23.01
X,0.05,-0.10,0.46,-106.51,138.79,0.24
X,0.02,-0.20,0.27,-61.83,109.56,-37.90
X,-0.09,-0.68,0.13,16.30,47.55,-46.39
X,-0.01,-0.55,0.08,-22.83,19.65,-15.08
X,0.07,-0.44,0.06,5.07,-31.62,-11.96
X,0.08,-0.68,0.37,8.54,-79.10,-8.91
X,0.08,-0.42,0.43,13.55,-90.58,32.41
X,0.24,-0.50,0.25,27.53,-117.07,29.48
X,0.13,-0.37,0.35,60.06,-180.36,13.61
X,0.23,-0.61,0.70,82.58,-200.26,45.72
X,0.42,-0.09,0.96,2.87,-199.46,96.07
X,0.28,0.07,1.05,8.79,-190.92,87.16
X,0.29,0.41,1.28,47.91,-174.01,71.53
X,0.26,0.19,1.42,6.29,-169.49,27.04
X,0.24,0.38,1.87,-12.82,-158.45,35.71
X,0.26,0.73,1.81,-5.98,-76.60,7.32
X,0.30,0.04,1.53,10.93,-32.71,-44.25
X,0.34,0.03,1.55,-8.18,-7.87,-10.01
X,0.35,0.08,1.47,-4.33,32.29,-4.94
X,0.34,-0.11,1.58,21.36,60.73,-14.10
X,0.35,-0.29,1.54,50.05,117.49,9.28
X,0.28,-0.29,1.21,88.44,163.76,38.82
X,0.18,-0.29,1.14,94.73,162.48,51.33
X,0.06,-0.43,1.13,106.99,151.55,90.70
X,-0.06,0.07,1.05,88.32,166.63,127.44
X,-0.08,0.19,0.84,51.39,164.55,93.44
X,-0.19,0.14,0.44,97.35,120.73,39.06
X,-0.07,0.16,0.48,58.35,74.10,16.36
X,-0.08,0.12,0.60,11.84,26.18,0.85
X,-0.10,0.22,0.84,-3.05,10.93,-6.84
X,-0.09,0.18,0.80,-15.08,17.40,-5.07
X,-0.10,0.23,0.69,-5.07,18.01,-12.51
X,-0.06,0.16,0.56,-11.29,19.29,-9.46
X,-0.06,0.27,0.42,3.17,-2.87,-8.42
X,-0.04,0.21,0.45,35.16,-37.72,-13.06
X,0.06,0.32,0.24,20.26,-54.93,-10.25
X,0.26,0.76,0.14,25.27,-132.87,-50.29
X,0.14,0.09,0.96,36.25,-182.07,-117.74
X,0.25,0.63,0.32,-8.79,-126.34,-58.72
X,0.21,0.32,0.50,11.72,-209.66,-132.45
X,0.33,0.06,0.92,-26.61,-203.06,-90.70
X,0.40,0.06,0.94,-49.01,-192.32,-75.50
X,0.44,-0.11,1.29,-49.50,-179.02,-79.83
X,0.50,-0.27,1.70,-45.29,-159.48,-69.76
X,0.42,-0.34,1.84,-72.33,-73.85,-33.26
X,0.41,-0.38,1.63,-92.53,-4.94,3.85
X,0.35,-0.53,1.93,-116.03,36.13,36.87
X,0.52,-0.15,2.11,-69.15,156.37,116.64
X,0.23,-0.32,1.08,-37.78,231.93,64.51
X,0.16,-0.25,1.54,-37.66,160.52,82.21
X,0.06,-0.02,1.59,-9.70,255.37,115.17
X,-0.01,0.16,0.76,9.22,318.42,101.14
X,-0.34,0.04,0.94,31.74,168.33,16.60
X,-0.37,-0.01,1.04,7.45,136.54,-5.07
X,-0.30,-0.13,0.83,-3.23,144.41,-14.47
X,-0.30,-0.07,0.87,7.20,114.87,15.38
X,-0.27,-0.13,0.82,-25.82,97.23,-26.61
X,-0.25,-0.23,0.56,-32.35,81.30,-46.33
X,-0.29,-0.13,0.44,-48.89,41.87,-55.36
X,-0.04,-0.11,0.27,-31.86,35.58,-66.41
X,-0.17,-0.15,0.12,75.68,2.44,-114.81
X,-0.02,-0.64,-0.39,-2.50,-24.54,-80.20
X,0.19,-0.78,-0.22,16.54,-88.26,-62.19
X,0.27,-0.68,-0.30,82.15,-169.19,-16.36
X,0.41,-1.03,0.24,116.27,-239.38,34.97
X,0.47,-0.83,0.44,82.52,-245.54,108.64
X,0.42,-0.20,0.93,-42.91,-244.63,179.63
X,0.30,0.35,1.46,-20.20,-242.61,161.19
X,0.21,0.31,2.05,-9.58,-199.10,119.63
X,0.17,0.84,2.21,-31.92,-108.03,99.24
X,0.14,0.47,1.82,58.65,-52.37,21.12
X,0.13,-0.11,1.67,39.06,-29.66,5.37
X,0.06,0.77,1.53,-8.97,6.53,41.08
X,0.07,0.26,1.33,8.61,6.04,-28.75
X,0.09,-0.12,1.16,-7.87,12.39,-15.56
X,0.13,-0.11,1.09,-20.08,8.18,-6.84
X,0.06,-0.17,1.12,-37.60,22.46,-9.95
X,0.04,-0.34,1.12,-52.92,53.34,-0.43
X,0.14,-0.34,1.07,5.98,46.69,21.73
X,0.03,-0.31,1.20,69.64,12.51,16.66
X,-0.05,-0.23,1.26,47.67,40.28,34.12
X,-0.14,-0.29,1.71,-1.77,56.34,51.33
X,-0.03,-0.10,1.10,42.91,178.16,65.98
X,-0.15,-0.32,1.32,28.38,166.38,51.15
X,-0.17,-0.12,1.20,-23.99,207.64,72.27
X,-0.27,0.27,0.73,-30.94,206.18,44.19
X,-0.12,0.20,0.29,63.90,131.41,14.89
X,-0.29,-0.37,0.50,62.81,30.88,1.28
X,-0.13,-0.03,0.09,40.16,0.61,66.71
X,-0.04,0.19,0.39,51.27,-71.90,56.64
X,-0.04,0.10,0.34,44.74,-54.14,22.09
X,0.14,0.77,0.31,17.64,-79.35,34.79
X,0.14,0.58,0.66,25.63,-106.63,-41.75
X,0.14,0.12,0.35,27.77,-92.41,-74.83
X,0.09,0.51,0.21,31.86,-107.73,-52.19
X,0.14,0.41,0.75,50.84,-157.17,-107.91
X,0.20,0.22,0.39,20.51,-148.32,-104.92
X,0.19,0.08,0.87,9.83,-184.45,-101.68
X,0.29,0.12,1.24,-10.80,-164.18,-63.17
X,0.21,0.05,1.15,-47.49,-142.76,-71.17
X,0.23,0.01,1.64,-11.11,-147.46,-78.74
X,0.27,-0.31,1.70,-5.25,-88.38,-94.91
X,0.23,-0.31,1.81,-11.96,-60.79,-83.74
X,0.13,-0.11,1.73,-43.33,-16.48,-67.32
X,0.07,-0.01,1.99,-41.26,39.31,-97.78
X,0.06,-0.15,1.84,-42.91,89.23,-100.16
X,0.01,-0.32,1.84,-38.33,104.49,-59.63
X,-0.13,0.16,1.52,-67.08,121.34,8.67
X,-0.19,-0.02,1.64,-21.42,153.02,-7.51
X,-0.19,0.36,1.43,0.55,233.89,2.08
X,-0.14,0.35,0.98,-19.41,256.41,-16.24
X,-0.12,-0.00,0.58,-43.21,204.47,-26.00
X,-0.31,0.08,0.65,-44.25,118.96,2.81
X,-0.25,0.39,0.85,-41.44,102.23,7.14
X,-0.17,-0.15,0.66,-5.62,120.00,-71.78
X,-0.20,-0.12,0.31,-44.98,111.57,-52.37
X,-0.20,0.14,0.33,-72.20,89.42,-57.50
X,-0.17,-0.11,0.13,-60.91,58.17,-96.01
X,-0.10,-0.29,-0.08,-26.98,2.08,-81.05
X,-0.04,-0.41,-0.09,50.54,-99.37,-47.49
X,-0.00,-0.57,-0.10,55.24,-115.66,-33.26
X,0.11,-0.74,-0.11,29.79,-161.38,0.61
X,0.25,-0.45,0.32,51.70,-249.69,72.08
X,0.19,-0.55,0.88,97.78,-248.11,72.75
X,0.39,-0.58,0.70,70.13,-199.04,101.62
X,0.34,-0.34,0.93,4.76,-222.53,159.67
X,0.45,0.49,1.60,-13.12,-204.41,184.81
X,0.33,0.48,1.52,-9.77,-166.63,131.47
X,0.23,0.61,1.84,66.59,-155.52,91.67
X,0.25,0.72,1.88,60.79,-109.62,71.35
X,0.19,0.80,1.75,26.00,-63.72,12.33
X,0.31,0.17,1.35,64.03,-43.88,-65.80
X,0.22,-0.08,1.35,20.87,-34.24,-48.89
X,0.26,0.10,1.47,-17.76,0.55,-11.66
X,0.20,0.06,1.40,-1.53,71.66,-25.33
X,0.18,0.04,1.43,18.92,120.61,-41.26
X,0.24,-0.17,1.30,62.81,175.05,-53.53
X,0.08,-0.30,1.13,57.62,158.94,-26.37
X,-0.00,-0.18,1.42,97.53,123.78,4.88
X,-0.07,0.08,1.21,93.51,152.10,31.31
X,-0.09,0.20,1.06,77.39,160.95,35.83
X,-0.14,0.34,0.92,39.98,161.38,23.93
X,-0.18,0.26,0.58,-3.97,145.14,7.51
X,-0.19,0.28,0.61,-5.86,103.82,6.04
X,-0.18,0.28,0.41,-11.60,77.58,5.86
X,-0.19,0.21,0.26,-45.35,49.74,12.15
X,-0.06,0.31,0.29,-52.00,28.69,21.73
X,0.04,0.41,0.12,-1.95,-21.73,1.28
X,0.04,0.37,0.36,65.25,-88.75,-17.94
X,0.03,0.41,0.44,60.06,-103.27,-16.42
X,0.07,0.33,0.27,79.59,-117.00,-9.89
X,0.14,0.35,0.26,70.50,-146.36,-7.39
X,0.15,0.38,0.44,71.41,-161.87,-21.67
X,0.13,0.55,0.58,36.19,-187.62,-17.52
X,0.22,0.57,0.82,-25.76,-204.41,-44.62
X,0.18,0.29,0.82,-56.70,-181.21,-75.87
X,0.25,0.09,1.15,-40.04,-188.29,-84.84
X,0.42,0.07,1.56,-73.06,-177.25,-63.60
X,0.38,-0.07,1.35,-78.67,-134.40,-54.99
X,0.39,-0.11,1.55,-46.02,-122.56,-44.25
X,0.47,-0.00,1.85,-33.02,-69.03,-21.85
X,0.46,0.10,1.69,-38.70,-20.08,-13.12
X,0.41,0.20,1.48,-15.50,7.81,-13.85
X,0.35,0.28,1.75,2.93,33.51,-20.94
X,0.31,0.27,1.76,-18.13,82.89,-24.54
X,0.20,0.31,1.57,-66.47,182.56,-22.58
X,0.12,0.55,1.29,-38.09,246.34,-26.00
X,0.17,0.39,1.11,-25.57,247.07,-51.76
X,-0.06,0.39,0.98,-32.90,210.75,-57.25
X,0.02,0.40,0.76,-78.86,219.18,-61.89
X,-0.06,0.22,0.36,-88.99,190.92,-83.19
X,-0.20,-0.09,0.50,-75.62,113.10,-104.37
X,-0.09,-0.17,0.50,-80.44,93.57,-100.34
X,-0.10,-0.25,0.08,-104.19,76.05,-96.25
X,-0.03,-0.45,0.27,-58.84,-0.06,-87.65
X,0.05,-0.63,0.45,-18.49,-16.85,-70.13
X,0.17,-0.85,0.14,-24.29,-13.37,-24.54
X,0.42,-0.75,-0.20,-43.46,-114.99,62.13
X,0.54,-0.94,-0.20,-35.52,-226.93,91.67
X,0.59,-0.73,0.76,6.71,-350.40,172.12
X,0.62,-0.30,1.18,30.94,-329.04,215.33
X,0.51,0.83,1.55,-24.96,-308.11,226.26
X,0.16,0.41,1.98,-22.83,-211.49,81.05
