Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
Y,-0.16,-0.18,0.91,6.04,-4.27,-2.38
Y,-0.14,-0.18,0.93,6.65,-5.98,-4.70
Y,-0.14,-0.19,0.92,2.87,-6.65,-4.88
Y,-0.15,-0.18,0.99,-5.68,-5.98,-4.46
Y,-0.13,-0.18,0.96,-18.31,5.00,-1.46
Y,-0.14,-0.18,0.93,-15.20,7.02,-2.50
Y,-0.14,-0.24,0.85,-3.42,1.89,-4.82
Y,-0.14,-0.17,1.07,-3.66,3.42,2.08
Y,0.01,-0.09,1.19,-17.09,25.88,3.42
Y,-0.27,-0.30,0.64,-7.51,40.83,-16.42
Y,-0.20,-0.26,0.78,-7.39,8.54,-10.38
Y,-0.27,-0.34,1.07,13.92,-25.76,-11.23
Y,-0.32,-0.30,1.04,-13.55,-10.80,-6.53
Y,-0.32,-0.38,1.10,1.77,-10.93,-5.74
Y,-0.33,-0.44,1.01,-31.31,2.69,15.08
Y,-0.30,-0.39,1.03,-9.09,-7.14,23.38
Y,-0.36,-0.38,1.12,15.87,-1.04,19.23
Y,-0.35,-0.44,1.11,22.83,7.08,20.08
Y,-0.35,-0.41,1.09,37.60,13.18,23.01
Y,-0.34,-0.32,1.19,37.11,22.58,34.85
Y,-0.34,-0.30,0.96,23.74,40.95,27.22
Y,-0.34,-0.23,0.90,34.67,34.79,29.17
Y,-0.31,-0.30,0.95,31.31,21.97,28.38
Y,-0.29,-0.22,0.90,25.82,20.81,37.66
Y,-0.25,-0.13,0.99,38.51,16.42,33.51
Y,-0.22,-0.12,0.99,27.22,29.54,29.48
Y,-0.21,-0.06,0.97,23.56,37.66,28.75
Y,-0.22,-0.03,0.77,19.71,53.10,25.51
Y,-0.20,0.07,0.51,20.69,53.04,27.95
Y,-0.16,0.08,0.40,24.48,37.90,27.10
Y,-0.10,0.25,0.46,34.73,2.75,22.83
Y,-0.08,0.15,0.49,28.32,-15.62,8.67
Y,-0.03,0.24,0.36,22.83,-24.11,6.65
Y,0.00,0.30,0.14,40.10,-63.23,-10.07
Y,0.03,0.28,0.02,40.41,-114.62,-22.09
Y,0.15,0.49,0.16,49.44,-203.43,-43.95
Y,0.18,-0.04,0.63,50.48,-264.59,-74.40
Y,0.25,0.19,0.76,26.00,-274.17,-40.53
Y,0.26,-0.14,1.46,18.98,-280.76,-53.47
Y,0.38,-0.09,2.05,-16.42,-208.31,-15.32
Y,0.39,0.03,2.07,-44.13,-137.08,-11.90
Y,0.38,-0.14,2.07,-25.82,-46.20,-27.16
Y,0.37,-0.21,1.99,-33.02,10.74,-24.54
Y,0.34,-0.13,1.94,-40.41,80.26,1.46
Y,0.35,0.08,1.60,-48.89,137.45,4.88
Y,0.29,-0.02,1.33,-36.93,153.02,-9.34
Y,0.14,0.01,0.97,-34.97,152.40,-11.17
Y,0.02,0.11,1.07,-18.62,124.82,-18.31
Y,-0.00,0.09,0.99,-5.92,133.24,-26.31
Y,-0.12,-0.04,0.90,-21.18,133.73,-31.37
Y,-0.13,-0.05,0.90,-35.64,129.03,-22.95
Y,-0.18,0.06,0.62,-49.44,121.03,-22.52
Y,-0.22,-0.16,0.69,6.29,82.89,-23.68
Y,-0.21,-0.13,0.76,-7.51,70.07,-21.12
Y,-0.23,-0.03,0.72,-36.38,72.57,-17.82
Y,-0.19,-0.15,0.68,-55.05,42.66,-32.59
Y,-0.21,-0.33,0.30,-28.99,60.55,-31.43
Y,-0.14,-0.25,0.15,-21.00,20.63,-11.23
Y,-0.05,-0.36,0.09,-0.06,-10.13,-5.98
Y,0.11,-0.36,0.16,3.78,-65.86,4.94
Y,0.21,-0.29,0.06,8.36,-104.43,18.92
Y,0.38,-0.18,-0.25,12.02,-154.42,18.01
Y,0.60,-0.30,-0.50,35.16,-294.43,-4.39
Y,0.87,-0.20,0.58,62.38,-428.89,41.63
Y,0.97,-0.07,1.94,76.78,-453.86,54.26
Y,0.62,0.33,3.29,53.83,-288.64,85.33
Y,0.52,0.72,2.21,-4.88,-58.72,3.30
Y,0.49,0.05,1.78,31.56,0.43,-49.74
Y,0.49,-0.34,1.39,14.65,25.94,-21.42
Y,0.47,0.00,1.26,-22.03,29.91,13.73
Y,0.42,0.15,1.37,-6.77,16.85,-7.69
Y,0.44,-0.17,1.20,9.40,51.82,-32.96
Y,0.42,-0.30,0.98,0.43,63.66,-24.17
Y,0.35,-0.16,0.76,-13.79,49.87,0.31
Y,0.31,-0.08,0.71,-4.27,34.12,0.55
Y,0.29,-0.08,0.78,12.63,16.36,-3.42
Y,0.27,-0.10,0.85,12.08,9.89,-5.92
Y,0.27,-0.05,0.79,5.98,12.15,-2.99
Y,0.29,-0.07,0.78,10.50,1.65,-6.16
Y,0.30,-0.12,0.97,12.82,-9.03,-3.60
Y,0.28,-0.10,1.13,10.19,-5.49,-0.49
Y,0.29,-0.10,1.29,21.85,17.27,-3.85
Y,0.28,-0.09,1.31,24.66,34.00,-4.03
Y,0.18,-0.26,1.58,34.06,60.67,-2.87
Y,0.17,-0.11,1.47,35.77,113.34,21.18
Y,0.17,-0.07,1.44,35.03,135.19,20.69
Y,0.02,-0.19,1.24,14.89,150.88,21.91
Y,-0.00,-0.02,0.93,-24.29,149.72,53.28
Y,-0.12,-0.01,0.79,-28.44,135.50,56.03
Y,-0.15,-0.09,0.71,-2.08,104.13,66.59
Y,-0.10,-0.07,0.74,12.63,85.21,73.49
Y,-0.09,0.05,0.74,21.85,76.54,68.73
Y,-0.08,0.20,0.59,24.17,59.88,46.26
Y,-0.14,0.14,0.57,40.41,39.73,22.16
Y,-0.16,0.20,0.53,39.43,17.15,17.27
Y,-0.15,0.27,0.71,43.21,-5.74,7.51
Y,-0.13,0.23,0.72,40.47,-3.17,-0.49
Y,-0.07,0.22,0.50,19.10,-9.58,-1.89
Y,-0.02,0.25,0.49,15.14,-32.90,-0.37
Y,0.07,0.46,0.32,24.05,-72.02,-8.85
Y,0.18,0.52,0.05,24.41,-148.93,-56.21
Y,0.23,0.53,0.10,36.50,-221.62,-83.13
Y,0.29,0.03,0.79,13.79,-276.25,-96.37
Y,0.30,-0.31,1.80,26.43,-254.46,-46.45
Y,0.29,-0.13,1.93,-29.17,-168.64,-3.60
Y,0.35,0.25,1.46,-51.82,-62.01,-13.37
Y,0.28,-0.05,1.42,-40.22,-41.26,-44.25
Y,0.22,-0.31,1.67,-29.97,-9.34,-21.73
Y,0.25,0.08,1.62,-58.11,50.72,17.33
Y,0.19,0.33,1.54,-74.46,85.63,6.29
Y,0.24,0.28,1.73,-60.61,139.40,-60.97
Y,0.13,0.23,1.20,-88.01,192.99,-71.53
Y,0.04,0.27,1.10,-89.17,177.31,-59.69
Y,-0.09,-0.01,0.91,-51.88,162.11,-69.95
Y,-0.03,0.20,0.60,-128.30,162.96,-72.08
Y,-0.29,-0.21,0.48,-76.42,143.80,-112.37
Y,-0.24,-0.36,0.48,-79.28,112.37,-60.79
Y,-0.18,-0.09,0.19,-71.35,97.41,-46.69
Y,-0.21,-0.39,0.15,-23.44,31.07,-54.99
Y,-0.12,-0.49,0.41,-2.75,-23.93,-33.20
Y,-0.08,-0.41,0.33,-3.91,-28.20,-22.83
Y,0.02,-0.58,0.21,14.16,-64.45,-14.40
Y,0.16,-0.64,0.07,-14.04,-125.18,7.63
Y,0.31,-1.07,0.08,16.72,-191.89,22.28
Y,0.33,-0.87,0.84,7.14,-280.94,117.07
Y,0.28,-0.06,1.50,30.64,-268.68,157.90
Y,0.08,0.57,2.57,90.64,-182.37,103.52
Y,-0.09,-0.11,1.99,53.10,20.51,14.40
Y,-0.04,0.03,1.41,33.81,74.58,26.49
Y,-0.11,-0.16,1.23,42.91,66.22,13.49
Y,-0.02,0.08,1.09,22.83,60.30,30.70
Y,0.02,0.07,1.10,18.68,48.40,10.68
Y,-0.01,-0.23,0.91,11.11,60.49,-15.81
Y,-0.02,-0.21,0.85,7.87,57.01,-6.29
Y,-0.00,-0.14,0.63,27.04,50.35,5.98
Y,-0.01,-0.09,0.45,31.31,18.55,-5.13
Y,0.02,-0.11,0.35,34.06,-3.72,-4.94
Y,0.11,-0.02,0.19,25.45,-51.39,-5.98
Y,0.24,0.35,-0.27,12.51,-117.92,-24.60
Y,0.31,0.32,-0.76,44.01,-198.24,-58.53
Y,0.96,0.24,-0.01,88.50,-380.62,-92.41
Y,0.93,-0.86,2.22,169.07,-447.08,-101.50
Y,0.75,-0.27,3.11,39.55,-198.00,59.14
Y,0.65,0.86,1.37,-36.50,-26.79,25.63
Y,0.69,0.12,1.30,15.50,-15.87,-53.89
Y,0.67,-0.27,1.39,4.70,-3.42,-10.74
Y,0.58,0.25,1.06,-21.61,14.47,20.26
Y,0.56,0.15,1.09,-9.46,14.22,-5.55
Y,0.58,-0.16,1.08,-2.38,25.76,-9.09
Y,0.55,-0.18,1.22,-7.81,36.32,5.92
Y,0.52,0.13,1.16,-22.28,76.29,23.13
Y,0.40,-0.14,1.46,14.40,91.06,-18.01
Y,0.37,-0.25,1.81,18.68,121.46,-1.65
Y,0.33,0.03,1.55,2.20,215.03,41.87
Y,0.33,0.04,0.78,25.63,249.02,39.31
Y,0.13,-0.24,0.66,56.70,215.21,18.25
Y,-0.05,-0.23,0.54,-1.10,172.49,52.43
Y,-0.11,0.12,0.36,-32.41,149.11,67.20
Y,-0.06,0.25,-0.05,-11.78,95.58,42.54
Y,-0.08,-0.10,0.73,46.69,-22.89,12.33
Y,-0.05,-0.08,1.17,23.19,-22.40,35.16
Y,-0.06,0.25,0.92,-29.79,27.16,42.54
Y,-0.11,0.25,0.65,7.69,23.13,6.96
Y,-0.15,0.04,0.70,27.95,4.88,-4.15
Y,-0.15,-0.01,0.80,2.93,-9.09,17.52
Y,-0.14,0.14,0.85,-5.74,-12.88,30.94
Y,-0.11,0.17,0.84,17.09,-11.78,23.86
Y,-0.05,0.20,0.69,10.93,-18.19,16.17
Y,-0.03,0.31,0.74,13.92,-40.41,20.39
Y,0.03,0.44,0.85,17.52,-57.56,-0.31
Y,0.15,0.50,0.60,8.24,-84.17,-41.44
Y,0.17,0.47,0.57,3.66,-111.63,-79.10
Y,0.24,0.29,0.67,-4.39,-168.15,-99.73
Y,0.26,0.15,0.70,3.97,-190.49,-115.91
Y,0.25,-0.09,1.08,9.89,-212.46,-93.51
Y,0.36,-0.22,1.62,-8.85,-151.79,-57.80
Y,0.33,-0.06,1.76,-31.74,-99.73,-41.63
Y,0.34,-0.19,1.65,-39.86,-29.48,-33.87
Y,0.37,-0.34,1.91,-55.66,46.81,-17.03
Y,0.33,-0.22,1.95,-86.00,107.48,4.15
Y,0.35,0.36,1.28,-134.34,202.88,-3.30
Y,0.04,-0.22,0.85,-69.89,184.69,-71.35
Y,-0.07,-0.38,1.06,-49.99,152.16,-37.48
Y,-0.14,0.02,1.04,-83.74,148.93,-2.56
Y,-0.12,0.12,1.01,-71.17,155.40,-13.37
Y,-0.12,-0.14,0.69,-32.90,163.88,-47.24
Y,-0.14,-0.30,0.55,-17.21,143.31,-30.09
Y,-0.18,-0.24,0.36,-57.25,122.31,-20.08
Y,-0.25,-0.38,0.15,-20.51,70.80,-19.23
Y,-0.16,-0.28,0.16,5.49,10.68,-2.14
Y,-0.15,-0.34,0.30,13.12,-26.43,-7.81
Y,-0.06,-0.50,0.27,-1.83,-52.86,1.16
Y,-0.02,-0.59,0.17,-2.32,-79.65,9.89
Y,0.06,-0.49,0.13,15.01,-135.80,32.04
Y,0.16,-0.57,0.13,46.75,-221.07,29.42
Y,0.28,-0.71,0.84,76.11,-293.09,56.15
Y,0.30,-0.19,1.56,23.62,-274.72,113.83
Y,0.18,0.53,2.46,66.83,-207.03,88.68
Y,0.06,0.54,2.64,70.31,-89.84,27.10
Y,0.08,0.16,1.65,21.30,76.23,-14.71
Y,0.03,-0.16,1.19,23.56,97.72,-26.31
Y,0.04,-0.04,1.20,13.85,63.42,15.75
