Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
Z,-0.17,0.01,0.95,1.22,-7.32,-3.66
Z,-0.17,0.01,0.95,-5.25,-7.51,-2.62
Z,-0.16,0.01,0.97,-3.91,-9.83,-1.65
Z,-0.16,0.03,0.96,-7.45,-9.34,0.06
Z,-0.18,0.03,1.05,0.92,-12.27,-2.81
Z,-0.16,0.04,0.94,7.14,-5.19,-5.25
Z,-0.16,0.03,0.96,5.25,-6.96,-4.52
Z,-0.19,0.10,1.00,-6.23,-6.71,-1.95
Z,-0.16,0.08,0.95,-5.07,-5.80,-5.86
Z,-0.17,0.02,0.95,-3.97,-6.10,-10.99
Z,-0.17,0.01,0.99,-33.57,1.65,-4.27
Z,-0.17,0.01,1.06,-31.01,3.30,-2.56
Z,-0.24,0.03,1.16,-20.87,10.07,-5.49
Z,-0.26,0.03,1.05,-19.65,28.38,-6.10
Z,-0.31,0.01,1.10,-22.40,27.77,-8.67
Z,-0.29,-0.19,1.12,-10.31,31.07,-2.50
Z,-0.27,-0.22,1.14,-10.99,28.93,7.02
Z,-0.22,-0.18,0.97,-9.95,26.73,18.25
Z,-0.26,-0.23,0.95,-4.27,7.93,14.28
Z,-0.30,-0.18,1.02,-10.93,12.70,18.25
Z,-0.32,-0.13,0.80,-17.64,29.72,24.84
Z,-0.27,-0.21,0.88,11.78,21.18,11.11
Z,-0.29,-0.34,0.87,20.08,16.17,13.43
Z,-0.31,-0.34,0.88,32.78,-0.24,41.81
Z,-0.29,-0.18,0.87,36.38,-6.16,48.40
Z,-0.24,-0.15,0.90,63.78,-5.19,14.95
Z,-0.26,-0.28,0.93,116.82,-12.63,-5.31
Z,-0.33,-0.42,0.86,158.94,-19.53,-7.14
Z,-0.52,0.02,0.86,149.54,-21.85,43.40
Z,-0.04,-0.16,0.97,104.74,-19.84,33.39
Z,-0.19,0.04,0.85,52.49,17.03,70.86
Z,-0.11,0.23,0.58,58.78,9.70,91.00
Z,-0.05,0.43,0.72,11.78,1.10,99.43
Z,-0.04,0.64,0.58,-19.10,8.00,100.77
Z,-0.07,0.95,0.47,-26.73,-14.40,92.10
Z,0.05,1.33,0.71,-19.10,-47.97,91.00
Z,0.08,1.45,0.85,3.48,-41.08,3.48
Z,0.03,1.34,0.75,-19.71,-29.79,-45.90
Z,-0.02,1.14,0.70,-32.71,-33.94,-78.74
Z,-0.04,0.85,0.86,-42.42,-49.68,-111.57
Z,0.01,0.73,0.87,-43.95,-43.09,-133.54
Z,0.03,0.40,1.11,-18.31,-50.90,-164.43
Z,0.06,-0.20,1.01,-25.09,-13.92,-169.86
Z,0.01,-0.54,0.93,-23.07,-5.68,-154.05
Z,-0.00,-0.63,1.05,-26.31,-8.06,-95.15
Z,-0.06,-0.62,1.03,-19.96,5.13,-59.75
Z,-0.12,-0.52,0.95,-15.14,14.04,-34.00
Z,-0.17,-0.19,0.88,-5.98,7.02,-8.18
Z,-0.17,-0.11,0.91,-1.22,-1.53,-5.00
Z,-0.15,-0.14,0.88,4.39,-2.01,-3.30
Z,-0.10,-0.23,0.83,15.08,-7.45,-5.00
